"genre","genre_rank","primarytitle","startyear","averagerating","numvotes","engagement_ratio"
"History",4,"The Countess",2009,6.2,8964,1446
"History",5,"Everlasting Moments",2008,7.5,6173,823
"Horror",1,"28 Days Later",2002,7.5,543086,72411
"Horror",2,"Daybreakers",2009,6.4,140678,21981
"Horror",3,"Land of the Dead",2005,6.2,104742,16894
"Horror",4,"Silent Hill: Revelation",2012,4.9,71452,14582
"Horror",5,"The Collector",2009,6.3,79218,12574
"Music",1,"Shall We Dance?",2004,6.2,52334,8441
"Music",2,"Love & Mercy",2014,7.4,45415,6137
"Music",3,"Samsara",2011,8.4,39832,4742
"Music",4,"Kevin & Perry Go Large",2000,5.7,15328,2689
"Music",5,"Miles Ahead",2015,6.4,10998,1718
"Musical",1,"Swades",2004,8.2,105829,12906
"Musical",2,"Jhoom Barabar Jhoom",2007,3.7,3654,988
"Musical",3,"Madhoshi",2004,4.6,513,112
"Musical",4,"Mama I Want to Sing",2011,4.3,379,88
"Musical",4,"Cinder Rock'n Rella",2003,3.9,342,88
"Mystery",1,"Memento",2000,8.4,1429497,170178
"Mystery",2,"Silent Hill: Revelation",2012,4.9,71452,14582
"Mystery",3,"Passengers",2008,5.8,41105,7087
"Mystery",4,"My Soul to Take",2010,4.8,22545,4697
"Mystery",5,"In the Electric Mist",2009,6.1,20992,3441
"Romance",1,"She's Out of My League",2010,6.4,152772,23871
"Romance",2,"In the Mood for Love",2000,8,187233,23404
"Romance",3,"Norbit",2007,4.3,87832,20426
"Romance",4,"The Giver",2014,6.4,130456,20384
"Romance",5,"The Wedding Ringer",2015,6.6,84716,12836
"Sci-Fi",1,"Interstellar",2014,8.7,2503001,287701
"Sci-Fi",2,"The Matrix",1999,8.7,2236585,257079
"Sci-Fi",3,"The Avengers",2012,8,1551974,193997
"Sci-Fi",4,"Man of Steel",2013,7.1,864110,121706
"Sci-Fi",5,"The Amazing Spider-Man",2012,6.9,760969,110285
"Sport",1,"Chak De! India",2007,8.1,91656,11316
"Sport",2,"Meet the Deedles",1998,4.1,3343,815
"Sport",3,"Game 6",2005,5.7,3194,560
"Sport",4,"Ping Pong Playa",2007,5.9,3174,538
"Sport",5,"Les Boys",1997,6.7,2354,351
"Thriller",1,"Memento",2000,8.4,1429497,170178
"Thriller",2,"Black Swan",2010,8,886054,110757
"Thriller",3,"The Town",2010,7.5,446240,59499
"Thriller",4,"Salt",2010,6.5,342327,52666
"Thriller",5,"Amores Perros",2000,8,272039,34005
"War",1,"Inglourious Basterds",2009,8.4,1773002,211072
"War",2,"Saving Private Ryan",1998,8.6,1630822,189630
"War",3,"Shooting Dogs",2005,7.6,12379,1629
"War",4,"Churchill: The Hollywood Years",2004,4.9,2682,547
"War",5,"Iraq in Fragments",2006,7.1,1697,239
