"primaryTitle","startYear","averageRating","genre","genre_avg","year_avg"
"The Sixth Sun: Mayan Uprising in Chiapas",1997,8.6,"Documentary",8.053,6.262
"Wildwood Days",2008,8.6,"Documentary",8.053,6.162
"Words from the Heart",2003,8.6,"Drama",6.252,6.222
"American History X",1998,8.5,"Crime",5.6,6.292
"American History X",1998,8.5,"Drama",6.252,6.292
"Celia: The Queen",2008,8.5,"Documentary",8.053,6.162
"Celia: The Queen",2008,8.5,"Music",7.419,6.162
"Delicate Instruments",2000,8.5,"Drama",6.252,6.352
"Europa: In the Shadow of the Reich",1998,8.5,"Documentary",8.053,6.292
"Europa: In the Shadow of the Reich",1998,8.5,"War",7.423,6.292
"George Wallace: Settin' the Woods on Fire",2000,8.5,"Biography",7.27,6.352
"George Wallace: Settin' the Woods on Fire",2000,8.5,"Documentary",8.053,6.352
"Guru",1997,8.5,"Drama",6.252,6.262
"Guru",1997,8.5,"Fantasy",6.139,6.262
"Kaalapani",1996,8.5,"Action",5.471,6.342
"Kaalapani",1996,8.5,"Drama",6.252,6.342
"Kaalapani",1996,8.5,"History",7.464,6.342
"Murali Krishnudu",2008,8.5,"Action",5.471,6.162
"Murali Krishnudu",2008,8.5,"Comedy",5.789,6.162
"Murali Krishnudu",2008,8.5,"Romance",6.0,6.162
"Mutual Admiration Society",2002,8.5,"Comedy",5.789,6.362
"Mutual Admiration Society",2002,8.5,"Drama",6.252,6.362
"Phish: Live in Vegas",2002,8.5,"Documentary",8.053,6.362
"Phish: Live in Vegas",2002,8.5,"Music",7.419,6.362
"Piedra sobre piedra",2004,8.5,"Documentary",8.053,6.404
"Sheriff",2001,8.5,"Comedy",5.789,6.234
"Shoot Back! Geschichten aus der Unterwelt",2005,8.5,"Documentary",8.053,6.33
"Something Blue",2009,8.5,"Comedy",5.789,6.074
"Something Blue",2009,8.5,"Drama",6.252,6.074
"The Art of Amália",2000,8.5,"Biography",7.27,6.352
"The Art of Amália",2000,8.5,"Documentary",8.053,6.352
"The Life and Crimes of Citizen Ming",2002,8.5,"Documentary",8.053,6.362
"The Privateer",2009,8.5,"Documentary",8.053,6.074
"The Quiet Storm",2004,8.5,"Thriller",5.134,6.404
"Uncle Ghost",2001,8.5,"Family",5.37,6.234
"Between Land and Sky",2003,8.4,"Drama",6.252,6.222
"Downtown Locals",2006,8.4,"Documentary",8.053,6.312
"From Swastika to Jim Crow",2000,8.4,"Documentary",8.053,6.352
"Het laatste Joegoslavische elftal",2000,8.4,"Documentary",8.053,6.352
"Het laatste Joegoslavische elftal",2000,8.4,"Sport",6.72,6.352
"Inglourious Basterds",2009,8.4,"Adventure",5.895,6.074
"Inglourious Basterds",2009,8.4,"Drama",6.252,6.074
"Inglourious Basterds",2009,8.4,"War",7.423,6.074
"Iruvar",1997,8.4,"Biography",7.27,6.262
"Iruvar",1997,8.4,"Drama",6.252,6.262
"Johle und werche",2007,8.4,"Documentary",8.053,6.232
"Keeping Time: The Life, Music & Photography of Milt Hinton",2003,8.4,"Documentary",8.053,6.222
"Memento",2000,8.4,"Drama",6.252,6.352
"Memento",2000,8.4,"Mystery",5.51,6.352
"Memento",2000,8.4,"Thriller",5.134,6.352
"Mungaru Male",2006,8.4,"Comedy",5.789,6.312
"Mungaru Male",2006,8.4,"Music",7.419,6.312
"Mungaru Male",2006,8.4,"Romance",6.0,6.312
"Night Flowers",1999,8.4,"Documentary",8.053,6.202
"Pain Within",2007,8.4,"Drama",6.252,6.232
"Pathogen",2006,8.4,"Drama",6.252,6.312
"Pickaxe",1999,8.4,"Documentary",8.053,6.202
"Ravi Shankar: Between Two Worlds",2001,8.4,"Documentary",8.053,6.234
"Ravi Shankar: Between Two Worlds",2001,8.4,"Music",7.419,6.234
"Riding the 9",2003,8.4,"Drama",6.252,6.222
"Samsara",2011,8.4,"Documentary",8.053,5.751
"Samsara",2011,8.4,"Music",7.419,5.751
"The Bandit K.",2008,8.4,"Drama",6.252,6.162
"The Flying Scissors",2009,8.4,"Comedy",5.789,6.074
"The Ralph Stanley Story",2000,8.4,"Documentary",8.053,6.352
"The Strange Case of Carl Weber",2006,8.4,"Comedy",5.789,6.312
"The Strange Case of Carl Weber",2006,8.4,"Drama",6.252,6.312
"The Treasures of Long Gone John",2006,8.4,"Documentary",8.053,6.312
"Three Comrades",2007,8.4,"Documentary",8.053,6.232
"Three Comrades",2007,8.4,"War",7.423,6.232
"Turkan Soray: The Camera Is My Love",2001,8.4,"Documentary",8.053,6.234
"WALL·E",2008,8.4,"Adventure",5.895,6.162
"WALL·E",2008,8.4,"Animation",6.835,6.162
"WALL·E",2008,8.4,"Family",5.37,6.162
"A Question of Trust",1996,8.3,"Drama",6.252,6.342
"A Question of Trust",1996,8.3,"Mystery",5.51,6.342
"Alien Dreamtime",2003,8.3,"Animation",6.835,6.222
"Alien Dreamtime",2003,8.3,"Documentary",8.053,6.222
"Alien Dreamtime",2003,8.3,"Fantasy",6.139,6.222
"Bad Girl Trilogy",1998,8.3,"Drama",6.252,6.292
"God's Ears",2008,8.3,"Drama",6.252,6.162
"Kantata Takwa",2008,8.3,"Documentary",8.053,6.162
"Mademoiselle and the Doctor",2004,8.3,"Documentary",8.053,6.404
"Magia Russica",2004,8.3,"Documentary",8.053,6.404
"Magnus Opus",2003,8.3,"Comedy",5.789,6.222
"Magnus Opus",2003,8.3,"Drama",6.252,6.222
"Manmadhudu",2002,8.3,"Comedy",5.789,6.362
"Manmadhudu",2002,8.3,"Romance",6.0,6.362
"My Class - Was aus uns wurde",2008,8.3,"Documentary",8.053,6.162
"Princess Mononoke",1997,8.3,"Adventure",5.895,6.262
"Princess Mononoke",1997,8.3,"Animation",6.835,6.262
"Princess Mononoke",1997,8.3,"Fantasy",6.139,6.262
"Resin",2001,8.3,"Drama",6.252,6.234
"Satya",1998,8.3,"Action",5.471,6.292
"Satya",1998,8.3,"Crime",5.6,6.292
"Satya",1998,8.3,"Drama",6.252,6.292
"Shaheed-E-Mohabbat Boota Singh",1999,8.3,"Biography",7.27,6.202
"Shaheed-E-Mohabbat Boota Singh",1999,8.3,"Drama",6.252,6.202
"Shaheed-E-Mohabbat Boota Singh",1999,8.3,"Musical",5.233,6.202
"Soviets Plus Electricity",2002,8.3,"Documentary",8.053,6.362
"Sync or Swim",2008,8.3,"Documentary",8.053,6.162
"The Master and His Pupil",2003,8.3,"Documentary",8.053,6.222
"The Stonecutter",2000,8.3,"Drama",6.252,6.352
"Tholi Prema",1998,8.3,"Drama",6.252,6.292
"Tholi Prema",1998,8.3,"Romance",6.0,6.292
"Toy Story 3",2010,8.3,"Adventure",5.895,5.895
"Toy Story 3",2010,8.3,"Animation",6.835,5.895
"Toy Story 3",2010,8.3,"Comedy",5.789,5.895
"Wild in the Streets",2012,8.3,"Documentary",8.053,5.781
"A Breath",2004,8.2,"Drama",6.252,6.404
"Anchor Eddy's",2006,8.2,"Comedy",5.789,6.312
"Beauty in Chaos",2004,8.2,"Drama",6.252,6.404
"Beauty in Chaos",2004,8.2,"War",7.423,6.404
"Beyond Barbed Wire",1997,8.2,"Documentary",8.053,6.262
"Beyond Barbed Wire",1997,8.2,"History",7.464,6.262
"Beyond Barbed Wire",1997,8.2,"War",7.423,6.262
"Big City Dick: Richard Peterson's First Movie",2004,8.2,"Documentary",8.053,6.404
"Bommarillu",2006,8.2,"Comedy",5.789,6.312
"Bommarillu",2006,8.2,"Drama",6.252,6.312
"Bommarillu",2006,8.2,"Romance",6.0,6.312
"Brittown",2008,8.2,"Documentary",8.053,6.162
"Cry Havoc",1999,8.2,"Drama",6.252,6.202
"Cry Havoc",1999,8.2,"War",7.423,6.202
"Diary of a Madman",1996,8.2,"Comedy",5.789,6.342
"Eddie Monroe",2006,8.2,"Action",5.471,6.312
"Grand Festival",2006,8.2,"Comedy",5.789,6.312
"Grand Festival",2006,8.2,"Drama",6.252,6.312
"Grilling Bobby Hicks",2009,8.2,"Comedy",5.789,6.074
"Grilling Bobby Hicks",2009,8.2,"Drama",6.252,6.074
"It Was Raining That Night",2014,8.2,"Drama",6.252,6.06
"Late Breaking News",2004,8.2,"Documentary",8.053,6.404
"Leave It to Chance",2005,8.2,"Comedy",5.789,6.33
"Leave It to Chance",2005,8.2,"Romance",6.0,6.33
"Love & Support",2001,8.2,"Comedy",5.789,6.234
"Love & Support",2001,8.2,"Drama",6.252,6.234
"Madaling mamatay, mahirap mabuhay",1996,8.2,"Action",5.471,6.342
"Matalino man ang matsing naiisahan din!",2000,8.2,"Action",5.471,6.352
"Matalino man ang matsing naiisahan din!",2000,8.2,"Comedy",5.789,6.352
"Movie Pizza Love",2008,8.2,"Comedy",5.789,6.162
"Ocean Front Property",2004,8.2,"Comedy",5.789,6.404
"On n'est pas des marques de vélo",2003,8.2,"Documentary",8.053,6.222
"Paruthiveeran",2007,8.2,"Drama",6.252,6.232
"Paruthiveeran",2007,8.2,"Romance",6.0,6.232
"Rats in the Ranks",1996,8.2,"Documentary",8.053,6.342
"Samba on Your Feet",2005,8.2,"Documentary",8.053,6.33
"Samba on Your Feet",2005,8.2,"Music",7.419,6.33
"Silence Broken: Korean Comfort Women",2000,8.2,"Documentary",8.053,6.352
"Snatch",2000,8.2,"Comedy",5.789,6.352
"Snatch",2000,8.2,"Crime",5.6,6.352
"Swades",2004,8.2,"Drama",6.252,6.404
"Swades",2004,8.2,"Musical",5.233,6.404
"The Cleansing Rites",2005,8.2,"Drama",6.252,6.33
"The Orchard",1998,8.2,"Drama",6.252,6.292
"The Orchard",1998,8.2,"Mystery",5.51,6.292
"The Orchard",1998,8.2,"Thriller",5.134,6.292
"The Wednesday Night Save the World Society",2001,8.2,"Comedy",5.789,6.234
"The Wednesday Night Save the World Society",2001,8.2,"Family",5.37,6.234
"The Wednesday Night Save the World Society",2001,8.2,"Romance",6.0,6.234
"The Wolf of Wall Street",2013,8.2,"Biography",7.27,6.369
"The Wolf of Wall Street",2013,8.2,"Comedy",5.789,6.369
"The Wolf of Wall Street",2013,8.2,"Crime",5.6,6.369
"Utol",1996,8.2,"Action",5.471,6.342
"Utol",1996,8.2,"Crime",5.6,6.342
"Utol",1996,8.2,"Drama",6.252,6.342
"Val/Val",2005,8.2,"Drama",6.252,6.33
"White Girl Young Pretty",2004,8.2,"Comedy",5.789,6.404
"White Light/Black Rain: The Destruction of Hiroshima and Nagasaki",2007,8.2,"Documentary",8.053,6.232
"White Light/Black Rain: The Destruction of Hiroshima and Nagasaki",2007,8.2,"History",7.464,6.232
"Year of the Dogs",1997,8.2,"Documentary",8.053,6.262
"Year of the Dogs",1997,8.2,"Sport",6.72,6.262
"Aaram Thamburan",1997,8.1,"Action",5.471,6.262
"Aaram Thamburan",1997,8.1,"Drama",6.252,6.262
"Aaram Thamburan",1997,8.1,"Romance",6.0,6.262
"Amazing Journey: The Story of The Who",2007,8.1,"Documentary",8.053,6.232
"Amazing Journey: The Story of The Who",2007,8.1,"Music",7.419,6.232
"Bastards of the Party",2005,8.1,"Documentary",8.053,6.33
"Buffalo Bill's Defunct: Stories from the New West",2004,8.1,"Drama",6.252,6.404
"C.I.D. Moosa",2003,8.1,"Action",5.471,6.222
"C.I.D. Moosa",2003,8.1,"Comedy",5.789,6.222
"Castells",2006,8.1,"Documentary",8.053,6.312
"Catch Me If You Can",2002,8.1,"Biography",7.27,6.362
"Catch Me If You Can",2002,8.1,"Crime",5.6,6.362
"Catch Me If You Can",2002,8.1,"Drama",6.252,6.362
"Chak De! India",2007,8.1,"Drama",6.252,6.232
"Chak De! India",2007,8.1,"Family",5.37,6.232
"Chak De! India",2007,8.1,"Sport",6.72,6.232
"Cosy Dens",1999,8.1,"Comedy",5.789,6.202
"Cosy Dens",1999,8.1,"Drama",6.252,6.202
"Dan Kolov - tzaryat na kecha",1999,8.1,"Drama",6.252,6.202
"Darius Goes West",2007,8.1,"Documentary",8.053,6.232
"Death and Taxis",2007,8.1,"Drama",6.252,6.232
"Estamira",2004,8.1,"Documentary",8.053,6.404
"Fire & Water",2002,8.1,"Drama",6.252,6.362
"Flames: The Movie",1997,8.1,"Drama",6.252,6.262
"Flames: The Movie",1997,8.1,"Romance",6.0,6.262
"GB: 2525",2009,8.1,"Action",5.471,6.074
"GB: 2525",2009,8.1,"Sci-Fi",5.713,6.074
"Have You Heard from Johannesburg: The Bottom Line",2010,8.1,"Documentary",8.053,5.895
"How to Train Your Dragon",2010,8.1,"Action",5.471,5.895
"How to Train Your Dragon",2010,8.1,"Adventure",5.895,5.895
"How to Train Your Dragon",2010,8.1,"Animation",6.835,5.895
"It's All in a Nights Work",2007,8.1,"Drama",6.252,6.232
"Khushi",2001,8.1,"Drama",6.252,6.234
"Khushi",2001,8.1,"Romance",6.0,6.234
"Lebensläufe II - Brigitte",1999,8.1,"Documentary",8.053,6.202
"Lock, Stock and Two Smoking Barrels",1998,8.1,"Comedy",5.789,6.292
"Lock, Stock and Two Smoking Barrels",1998,8.1,"Crime",5.6,6.292
"Lying Beside You",2001,8.1,"Comedy",5.789,6.234
"Lying Beside You",2001,8.1,"Drama",6.252,6.234
"Mahalia Jackson: The Power and the Glory",1997,8.1,"Documentary",8.053,6.262
"Mahalia Jackson: The Power and the Glory",1997,8.1,"Music",7.419,6.262
"Man with a Plan",1996,8.1,"Comedy",5.789,6.342
"Mary and Max",2009,8.1,"Animation",6.835,6.074
"Mary and Max",2009,8.1,"Comedy",5.789,6.074
"Mary and Max",2009,8.1,"Drama",6.252,6.074
"Monsters, Inc.",2001,8.1,"Adventure",5.895,6.234
"Monsters, Inc.",2001,8.1,"Animation",6.835,6.234
"Monsters, Inc.",2001,8.1,"Comedy",5.789,6.234
"Neon Genesis Evangelion: The End of Evangelion",1997,8.1,"Action",5.471,6.262
"Neon Genesis Evangelion: The End of Evangelion",1997,8.1,"Animation",6.835,6.262
"Neon Genesis Evangelion: The End of Evangelion",1997,8.1,"Drama",6.252,6.262
"Night Fliers",2009,8.1,"Drama",6.252,6.074
"Night Fliers",2009,8.1,"Romance",6.0,6.074
"Night of the Coyote",1999,8.1,"Thriller",5.134,6.202
"Occupation 101",2006,8.1,"Documentary",8.053,6.312
"Pakisabi na lang... Mahal ko siya",2002,8.1,"Comedy",5.789,6.362
"Pakisabi na lang... Mahal ko siya",2002,8.1,"Drama",6.252,6.362
"Pakisabi na lang... Mahal ko siya",2002,8.1,"Romance",6.0,6.362
"Pousse Cafe",1997,8.1,"Comedy",5.789,6.262
"Pousse Cafe",1997,8.1,"Drama",6.252,6.262
"Pushin' Up Daisies",2010,8.1,"Comedy",5.789,5.895
"Roads",2003,8.1,"Documentary",8.053,6.222
"Sanctuary: The Movie",1996,8.1,"Crime",5.6,6.342
"Sanctuary: The Movie",1996,8.1,"Drama",6.252,6.342
"Seed",2000,8.1,"Drama",6.252,6.352
"Sexgunsmoney@20",2002,8.1,"Comedy",5.789,6.362
"Sexgunsmoney@20",2002,8.1,"Drama",6.252,6.362
"Tahiti",2003,8.1,"Drama",6.252,6.222
"The Bandit",1996,8.1,"Crime",5.6,6.342
"The Bandit",1996,8.1,"Drama",6.252,6.342
"The Big Lebowski",1998,8.1,"Comedy",5.789,6.292
"The Big Lebowski",1998,8.1,"Crime",5.6,6.292
"The King",2002,8.1,"Drama",6.252,6.362
"The Tin Mine",2005,8.1,"Biography",7.27,6.33
"The Tin Mine",2005,8.1,"Comedy",5.789,6.33
"The Tin Mine",2005,8.1,"Drama",6.252,6.33
"Vanaprastham",1999,8.1,"Drama",6.252,6.202
"Wall Rats",2006,8.1,"Documentary",8.053,6.312
"When Children Play in the Sky",2006,8.1,"Drama",6.252,6.312
"Életek éneke",2008,8.1,"Documentary",8.053,6.162
"Életek éneke",2008,8.1,"Music",7.419,6.162
"13 Months of Sunshine",2007,8.0,"Drama",6.252,6.232
"13 Months of Sunshine",2007,8.0,"Romance",6.0,6.232
"Amores Perros",2000,8.0,"Drama",6.252,6.352
"Amores Perros",2000,8.0,"Thriller",5.134,6.352
"Arvo Pärt: 24 Preludes for a Fugue",2002,8.0,"Biography",7.27,6.362
"Arvo Pärt: 24 Preludes for a Fugue",2002,8.0,"Music",7.419,6.362
"Black Swan",2010,8.0,"Drama",6.252,5.895
"Black Swan",2010,8.0,"Thriller",5.134,5.895
"Chinthavishtayaya Shyamala",1998,8.0,"Comedy",5.789,6.292
"Chinthavishtayaya Shyamala",1998,8.0,"Drama",6.252,6.292
"Cualquiera",2003,8.0,"Comedy",5.789,6.222
"Dil Chahta Hai",2001,8.0,"Comedy",5.789,6.234
"Dil Chahta Hai",2001,8.0,"Drama",6.252,6.234
"Dil Chahta Hai",2001,8.0,"Romance",6.0,6.234
"G.O.R.A.",2004,8.0,"Adventure",5.895,6.404
"G.O.R.A.",2004,8.0,"Comedy",5.789,6.404
"G.O.R.A.",2004,8.0,"Sci-Fi",5.713,6.404
"In the Mood for Love",2000,8.0,"Drama",6.252,6.352
"In the Mood for Love",2000,8.0,"Romance",6.0,6.352
"Innocence",1997,8.0,"Drama",6.252,6.262
"Magnolia",1999,8.0,"Drama",6.252,6.202
"Nagbibinata",1998,8.0,"Comedy",5.789,6.292
"Opal",2010,8.0,"Drama",6.252,5.895
"Paging Emma",1999,8.0,"Drama",6.252,6.202
"Persepolis",2007,8.0,"Animation",6.835,6.232
"Persepolis",2007,8.0,"Biography",7.27,6.232
"Persepolis",2007,8.0,"Drama",6.252,6.232
"Pox",2011,8.0,"Comedy",5.789,5.751
"Pox",2011,8.0,"Sci-Fi",5.713,5.751
"Rama Shama Bhama",2005,8.0,"Comedy",5.789,6.33
"Reflections",2008,8.0,"Drama",6.252,6.162
"RiffRaff",2009,8.0,"Comedy",5.789,6.074
"Romantic Warriors II: A Progressive Music Saga About Rock in Opposition",2012,8.0,"Music",7.419,5.781
"Secrets & Lies",1996,8.0,"Comedy",5.789,6.342
"Secrets & Lies",1996,8.0,"Drama",6.252,6.342
"Stranger Than Fiction",2005,8.0,"Drama",6.252,6.33
"Temporary Girl",1998,8.0,"Comedy",5.789,6.292
"Temporary Girl",1998,8.0,"Drama",6.252,6.292
"The Avengers",2012,8.0,"Action",5.471,5.781
"The Avengers",2012,8.0,"Sci-Fi",5.713,5.781
"The Celebration",1998,8.0,"Drama",6.252,6.292
"The Gifted",1999,8.0,"Crime",5.6,6.202
"The Gifted",1999,8.0,"Drama",6.252,6.202
"The Last Wright",2008,8.0,"Biography",7.27,6.162
"The Pigeon Egg Strategy",1998,8.0,"Comedy",5.789,6.292
"The Tragedy of Man",2011,8.0,"Animation",6.835,5.751
"The Tragedy of Man",2011,8.0,"Drama",6.252,5.751
"The Tragedy of Man",2011,8.0,"History",7.464,5.751
"The Wounds",1998,8.0,"Comedy",5.789,6.292
"The Wounds",1998,8.0,"Crime",5.6,6.292
"The Wounds",1998,8.0,"Drama",6.252,6.292
"Tom Petty and the Heartbreakers: High Grass Dogs, Live from the Fillmore",1999,8.0,"Music",7.419,6.202
"Under the Same Sky",2003,8.0,"Drama",6.252,6.222
"Voices Through Time",1996,8.0,"Drama",6.252,6.342
"You Can't Buy Love",2001,8.0,"Drama",6.252,6.234
"You Can't Buy Love",2001,8.0,"Music",7.419,6.234
"You Can't Buy Love",2001,8.0,"Romance",6.0,6.234
"Dallas Buyers Club",2013,7.9,"Biography",7.27,6.369
"Dallas Buyers Club",2013,7.9,"Drama",6.252,6.369
"Life of Pi",2012,7.9,"Adventure",5.895,5.781
"Life of Pi",2012,7.9,"Drama",6.252,5.781
"Life of Pi",2012,7.9,"Fantasy",6.139,5.781
"Nema aviona za Zagreb",2012,7.9,"Biography",7.27,5.781
"Avenge",2014,7.8,"Drama",6.252,6.06
"My Nhân",2015,7.8,"Drama",6.252,6.456
"Autism: The Musical",2007,7.7,"Music",7.419,6.232
"Lives and Deaths of the Poets",2011,7.7,"Comedy",5.789,5.751
"Shall We Dance?",1996,7.7,"Comedy",5.789,6.342
"Shall We Dance?",1996,7.7,"Drama",6.252,6.342
"Shall We Dance?",1996,7.7,"Music",7.419,6.342
"Shubho Mahurat",2003,7.7,"Crime",5.6,6.222
"Shubho Mahurat",2003,7.7,"Mystery",5.51,6.222
"The Strip",2009,7.7,"Comedy",5.789,6.074
"Tiden är en dröm, del 2",2014,7.7,"History",7.464,6.06
"Tupac Shakur: Thug Angel",2002,7.7,"Biography",7.27,6.362
"Tupac Shakur: Thug Angel",2002,7.7,"Music",7.419,6.362
"Got 2 Believe",2002,7.6,"Romance",6.0,6.362
"Shooting Dogs",2005,7.6,"Drama",6.252,6.33
"Shooting Dogs",2005,7.6,"History",7.464,6.33
"Shooting Dogs",2005,7.6,"War",7.423,6.33
"The Significant Other",2012,7.6,"Comedy",5.789,5.781
"The Significant Other",2012,7.6,"Romance",6.0,5.781
"28 Days Later",2002,7.5,"Drama",6.252,6.362
"28 Days Later",2002,7.5,"Horror",4.579,6.362
"28 Days Later",2002,7.5,"Sci-Fi",5.713,6.362
"Everlasting Moments",2008,7.5,"Drama",6.252,6.162
"Everlasting Moments",2008,7.5,"History",7.464,6.162
"Hugo",2011,7.5,"Adventure",5.895,5.751
"Hugo",2011,7.5,"Drama",6.252,5.751
"Hugo",2011,7.5,"Family",5.37,5.751
"Joseph Smith: Prophet of the Restoration",2011,7.5,"Biography",7.27,5.751
"Joseph Smith: Prophet of the Restoration",2011,7.5,"Drama",6.252,5.751
"Joseph Smith: Prophet of the Restoration",2011,7.5,"History",7.464,5.751
"The Town",2010,7.5,"Crime",5.6,5.895
"The Town",2010,7.5,"Drama",6.252,5.895
"The Town",2010,7.5,"Thriller",5.134,5.895
"The Yacoubian Building",2006,7.5,"Drama",6.252,6.312
"A Million Miles",2001,7.4,"Drama",6.252,6.234
