"genre","primaryTitle","startYear","runtime","genre_avg","genre_stddev","z_score"
"Documentary","Cooper and Hemingway: The True Gen",2013,120,94.528,24.909,1.023
"Documentary","La palomilla salvaje",2006,61,94.528,24.909,-1.346
"Documentary","Never Again, Forever",1996,60,94.528,24.909,-1.386
"Documentary","The Sixth Sun: Mayan Uprising in Chiapas",1997,60,94.528,24.909,-1.386
"Documentary","Surviving Friendly Fire",1997,60,94.528,24.909,-1.386
"Documentary","Golden Threads",1999,60,94.528,24.909,-1.386
"Documentary","The Way I Look at You - Five Stories of Driving School",1999,60,94.528,24.909,-1.386
"Documentary","From Swastika to Jim Crow",2000,60,94.528,24.909,-1.386
"Documentary","Unfinished Symphony: Democracy and Dissent",2001,60,94.528,24.909,-1.386
"Documentary","Keeping Time: The Life, Music & Photography of Milt Hinton",2003,60,94.528,24.909,-1.386
"Documentary","Alien Dreamtime",2003,60,94.528,24.909,-1.386
"Documentary","Roads",2003,60,94.528,24.909,-1.386
"Documentary","Piedra sobre piedra",2004,60,94.528,24.909,-1.386
"Documentary","Samba on Your Feet",2005,60,94.528,24.909,-1.386
"Documentary","Wall Rats",2006,60,94.528,24.909,-1.386
"Documentary","Wildwood Days",2008,60,94.528,24.909,-1.386
"Documentary","Texxas Jam '78",2012,60,94.528,24.909,-1.386
"Drama","Dan Kolov - tzaryat na kecha",1999,194,104.002,21.871,4.115
"Drama","Swades",2004,189,104.002,21.871,3.886
"Drama","Magnolia",1999,188,104.002,21.871,3.841
"Drama","Dil Chahta Hai",2001,183,104.002,21.871,3.612
"Drama","The Lord of the Rings: The Two Towers",2002,179,104.002,21.871,3.429
"Drama","Kaalapani",1996,178,104.002,21.871,3.383
"Drama","The Lord of the Rings: The Fellowship of the Ring",2001,178,104.002,21.871,3.383
"Drama","Jaane Jigar",1998,175,104.002,21.871,3.246
"Drama","Satya",1998,170,104.002,21.871,3.018
"Drama","Bommarillu",2006,170,104.002,21.871,3.018
"Drama","Sanam Teri Kasam",2009,170,104.002,21.871,3.018
"Drama","Saving Private Ryan",1998,169,104.002,21.871,2.972
"Drama","Khushi",2001,169,104.002,21.871,2.972
"Drama","Interstellar",2014,169,104.002,21.871,2.972
"Drama","The Tragedy of Man",2011,166,104.002,21.871,2.835
"Drama","The Yacoubian Building",2006,165,104.002,21.871,2.789
"Drama","Aaram Thamburan",1997,163,104.002,21.871,2.698
"Drama","Paruthiveeran",2007,162,104.002,21.871,2.652
"Drama","Chinthavishtayaya Shyamala",1998,158,104.002,21.871,2.469
"Drama","Shararat",2002,155,104.002,21.871,2.332
"Drama","Amores Perros",2000,154,104.002,21.871,2.286
"Drama","Chak De! India",2007,153,104.002,21.871,2.24
"Drama","Inglourious Basterds",2009,153,104.002,21.871,2.24
"Drama","The Dark Knight",2008,152,104.002,21.871,2.195
"Drama","Ankahee",2006,151,104.002,21.871,2.149
"Drama","Malayalimamanu Vanakkam",2002,149,104.002,21.871,2.057
"Drama","Namak",1996,148,104.002,21.871,2.012
"Drama","Tholi Prema",1998,146,104.002,21.871,1.92
"Drama","Supari",2003,142,104.002,21.871,1.737
"Drama","Catch Me If You Can",2002,141,104.002,21.871,1.692
"Drama","Iruvar",1997,140,104.002,21.871,1.646
"Drama","Pudhiya Geethai",2003,140,104.002,21.871,1.646
"Drama","Jhoom Barabar Jhoom",2007,138,104.002,21.871,1.554
"Drama","Socha Na Tha",2005,137,104.002,21.871,1.509
"Drama","Secrets & Lies",1996,136,104.002,21.871,1.463
"Drama","Shall We Dance?",1996,136,104.002,21.871,1.463
"Drama","Guru",1997,136,104.002,21.871,1.463
"Drama","Athisayan",2007,135,104.002,21.871,1.417
"Drama","Sat Na Gat",2013,135,104.002,21.871,1.417
"Drama","Everlasting Moments",2008,131,104.002,21.871,1.234
"Drama","Delicate Instruments",2000,130,104.002,21.871,1.189
"Drama","The King",2002,130,104.002,21.871,1.189
"Drama","Dbl Rein-Beau",2002,130,104.002,21.871,1.189
"Drama","Keerthi Chakra",2006,130,104.002,21.871,1.189
"Drama","Zulmi",1999,129,104.002,21.871,1.143
"Drama","The Gathering!",2003,129,104.002,21.871,1.143
"Drama","The Bandit",1996,128,104.002,21.871,1.097
"Drama","Stranger Than Fiction",2005,128,104.002,21.871,1.097
"Drama","Life of Pi",2012,127,104.002,21.871,1.052
"Drama","Hugo",2011,126,104.002,21.871,1.006
"Drama","Without a Map",1996,82,104.002,21.871,-1.006
"Drama","Blossi/810551",1997,82,104.002,21.871,-1.006
"Drama","Angel Express",1998,82,104.002,21.871,-1.006
"Drama","Pathogen",2006,82,104.002,21.871,-1.006
"Drama","Himmerland",2008,82,104.002,21.871,-1.006
"Drama","Exposed",2012,82,104.002,21.871,-1.006
"Drama","Mat Tudung",2014,82,104.002,21.871,-1.006
"Drama","A Cry in the Night",1996,81,104.002,21.871,-1.052
"Drama","An Unexpected Walk",1997,81,104.002,21.871,-1.052
"Drama","Occasional Coarse Language",1998,81,104.002,21.871,-1.052
"Drama","The Casino Job",2009,81,104.002,21.871,-1.052
"Drama","Harlem Hostel",2010,81,104.002,21.871,-1.052
"Drama","Cry Havoc",1999,61,104.002,21.871,-1.966
"Drama","Dolce...",2000,61,104.002,21.871,-1.966
"Drama","Val/Val",2005,61,104.002,21.871,-1.966
"Drama","Tama asobi",1996,60,104.002,21.871,-2.012
"Drama","Kiskisan",2003,60,104.002,21.871,-2.012
"Drama","A Happy Ending",2005,60,104.002,21.871,-2.012
"Drama","Joseph Smith: Prophet of the Restoration",2011,60,104.002,21.871,-2.012
"Drama","The Fallen Word",2013,60,104.002,21.871,-2.012
"Family","Jaane Jigar",1998,175,100.175,19.865,3.767
"Family","Chak De! India",2007,153,100.175,19.865,2.659
"Family","Namak",1996,148,100.175,19.865,2.408
"Family","Hugo",2011,126,100.175,19.865,1.3
"Family","Shiva Shankar",2004,125,100.175,19.865,1.25
"Fantasy","The Lord of the Rings: The Two Towers",2002,179,101.424,25.847,3.001
"Fantasy","The Lord of the Rings: The Fellowship of the Ring",2001,178,101.424,25.847,2.963
"Fantasy","Guru",1997,136,101.424,25.847,1.338
"Fantasy","Princess Mononoke",1997,133,101.424,25.847,1.222
"Fantasy","Alien Dreamtime",2003,60,101.424,25.847,-1.603
"Fantasy","The Fallen Word",2013,60,101.424,25.847,-1.603
"History","Dr. Babasaheb Ambedkar",2000,197,118.786,38.549,2.029
"History","Kaalapani",1996,178,118.786,38.549,1.536
"History","The Tragedy of Man",2011,166,118.786,38.549,1.225
"History","Joseph Smith: Prophet of the Restoration",2011,60,118.786,38.549,-1.525
"Horror","Anxiety",2008,130,94.731,9.891,3.566
"Horror","Den",2001,120,94.731,9.891,2.555
"Horror","Zombies",2003,120,94.731,9.891,2.555
"Horror","Nightmares in Precinct 7",2001,115,94.731,9.891,2.049
"Horror","28 Days Later",2002,113,94.731,9.891,1.847
"Horror","Saimin",1999,110,94.731,9.891,1.544
"Horror","Maldoror",2001,110,94.731,9.891,1.544
"Horror","Kutob",2005,110,94.731,9.891,1.544
"Horror","My Soul to Take",2010,107,94.731,9.891,1.24
"Horror","Bad Blood",2012,107,94.731,9.891,1.24
"Horror","Jack & Diane",2012,105,94.731,9.891,1.038
"Horror","2001 Maniacs: Field of Screams",2010,84,94.731,9.891,-1.085
"Horror","Bugged",1996,82,94.731,9.891,-1.287
"Horror","Inside",2007,82,94.731,9.891,-1.287
"Music","The Last Pogo Jumps Again",2013,200,105.452,28.055,3.37
"Music","Phish: Live in Vegas",2002,172,105.452,28.055,2.372
"Music","Mungaru Male",2006,143,105.452,28.055,1.338
"Music","Steppin: The Movie",2009,138,105.452,28.055,1.16
"Music","Shall We Dance?",1996,136,105.452,28.055,1.089
"Music","Samba on Your Feet",2005,60,105.452,28.055,-1.62
"Musical","Swades",2004,189,114.778,33.162,2.238
"Mystery","Shubho Mahurat",2003,150,98.062,13.692,3.793
"Mystery","Innocence",2004,122,98.062,13.692,1.748
"Mystery","Madhoshi",2004,122,98.062,13.692,1.748
"Mystery","In the Electric Mist",2009,117,98.062,13.692,1.383
"Mystery","Nightmares in Precinct 7",2001,115,98.062,13.692,1.237
"Mystery","20.13: Purgatory",2006,114,98.062,13.692,1.164
"Mystery","Memento",2000,113,98.062,13.692,1.091
"Mystery","Disconnect",2010,112,98.062,13.692,1.018
"Mystery","Exposed",2012,82,98.062,13.692,-1.173
"Mystery","The Fallen Word",2013,60,98.062,13.692,-2.78
"Romance","Nuvvu Naaku Nachchav",2001,184,108.682,24.296,3.1
"Romance","Dil Chahta Hai",2001,183,108.682,24.296,3.059
"Romance","Bommarillu",2006,170,108.682,24.296,2.524
"Romance","Sanam Teri Kasam",2009,170,108.682,24.296,2.524
"Romance","Khushi",2001,169,108.682,24.296,2.483
"Romance","Aaram Thamburan",1997,163,108.682,24.296,2.236
"Romance","Paruthiveeran",2007,162,108.682,24.296,2.195
"Romance","Unnai Kodu Ennai Tharuven",2000,157,108.682,24.296,1.989
"Romance","Shararat",2002,155,108.682,24.296,1.906
"Romance","Yeh Dil Aashiqanaa",2002,152,108.682,24.296,1.783
"Romance","Ankahee",2006,151,108.682,24.296,1.742
"Romance","Suryam",2004,150,108.682,24.296,1.701
"Romance","Tholi Prema",1998,146,108.682,24.296,1.536
"Romance","Kitne Door... Kitne Paas",2002,146,108.682,24.296,1.536
"Romance","Mungaru Male",2006,143,108.682,24.296,1.413
"Romance","Manmadhudu",2002,142,108.682,24.296,1.371
"Romance","Pudhiya Geethai",2003,140,108.682,24.296,1.289
"Romance","Manchala",1999,137,108.682,24.296,1.166
"Romance","Socha Na Tha",2005,137,108.682,24.296,1.166
"Romance","A három testör Afrikában",1996,84,108.682,24.296,-1.016
"Romance","The Wednesday Night Save the World Society",2001,84,108.682,24.296,-1.016
"Romance","Blunt Movie",2013,83,108.682,24.296,-1.057
"Romance","Mat Tudung",2014,82,108.682,24.296,-1.098
"Romance","Occasional Coarse Language",1998,81,108.682,24.296,-1.139
"Romance","Kiskisan",2003,60,108.682,24.296,-2.004
"Sci-Fi","Interstellar",2014,169,106.0,20.697,3.044
"Sci-Fi","The Avengers",2012,143,106.0,20.697,1.788
"Sci-Fi","Man of Steel",2013,143,106.0,20.697,1.788
"Sci-Fi","The Matrix",1999,136,106.0,20.697,1.449
"Sci-Fi","The Amazing Spider-Man",2012,136,106.0,20.697,1.449
"Sci-Fi","John Carter",2012,132,106.0,20.697,1.256
"Sci-Fi","G.O.R.A.",2004,127,106.0,20.697,1.015
"Sci-Fi","El hada buena - Una fábula peronista",2010,85,106.0,20.697,-1.015
"Sci-Fi","Bugged",1996,82,106.0,20.697,-1.16
"Sport","Chak De! India",2007,153,102.3,20.629,2.458
"Thriller","Amores Perros",2000,154,97.32,13.83,4.098
"Thriller","Ankahee",2006,151,97.32,13.83,3.881
"Thriller","The Quiet Storm",2004,150,97.32,13.83,3.809
"Thriller","Nirbhay",1996,135,97.32,13.83,2.725
"Thriller","Anxiety",2008,130,97.32,13.83,2.363
"Thriller","The Town",2010,125,97.32,13.83,2.001
"Thriller","The Chosen Heaven",2010,123,97.32,13.83,1.857
"Thriller","Den",2001,120,97.32,13.83,1.64
"Thriller","Memento",2000,113,97.32,13.83,1.134
"Thriller","The Condemned",2007,113,97.32,13.83,1.134
"Thriller","King of the Avenue",2010,83,97.32,13.83,-1.035
"Thriller","Exposed",2012,82,97.32,13.83,-1.108
"War","Saving Private Ryan",1998,169,110.923,28.756,2.02
"War","Inglourious Basterds",2009,153,110.923,28.756,1.463
"War","Cry Havoc",1999,61,110.923,28.756,-1.736
