"person_name","distinct_genres","genres_covered"
"Anton Pardoe",3,"Action, Drama, Romance"
"Anwar Khan",3,"Action, Crime, Drama"
"Aram Rappaport",3,"Comedy, Drama, Romance"
"Arturo Pérez-Reverte",3,"Adventure, Drama, Thriller"
"Asta Ots",3,"Biography, Drama, Music"
"Atul Sabharwal",3,"Action, Crime, Drama"
"Audrey Wells",3,"Comedy, Drama, Music"
"Ayn Rand",3,"Drama, Mystery, Sci-Fi"
"Beau Thorne",3,"Action, Crime, Drama"
"Ben Affleck",3,"Crime, Drama, Thriller"
"Ben Younger",3,"Comedy, Drama, Romance"
"Blayne Weaver",3,"Comedy, Drama, Romance"
"Bob Barlen",3,"Adventure, Animation, Comedy"
"Bob Kane",3,"Action, Crime, Drama"
"Bommarillu Baskar",3,"Comedy, Drama, Romance"
"Bozena Nemcová",3,"Comedy, Family, Fantasy"
"Brad Hayward",3,"Comedy, Drama, Romance"
"Brad Mirman",3,"Action, Sci-Fi, Thriller"
"Bradley Rust Gray",3,"Drama, Horror, Romance"
"Brannon Coombs",3,"Action, Crime, Drama"
"Brian Bloom",3,"Action, Adventure, Crime"
"Brian Lynch",3,"Action, Adventure, Animation"
"Brian Patrick O'Toole",3,"Drama, Mystery, Sci-Fi"
"Brian Selznick",3,"Adventure, Drama, Family"
"Brian Wilson",3,"Biography, Drama, Music"
"Brooks Branch",3,"Comedy, Drama, Romance"
"Bryan Goeres",3,"Action, Drama, Thriller"
"C.S. Lewis",3,"Adventure, Family, Fantasy"
"Cal Brunker",3,"Adventure, Animation, Comedy"
"Carlos Martín",3,"Action, Adventure, Comedy"
"Carolina García",3,"Drama, Fantasy, Horror"
"Cary Solomon",3,"Comedy, Horror, Romance"
"Cat Ling",3,"Adventure, Comedy, Family"
"Caytha Jentis",3,"Drama, Mystery, Thriller"
"Cem Yılmaz",3,"Adventure, Comedy, Sci-Fi"
"Charles Matthau",3,"Comedy, Crime, Thriller"
"Charles Peterson",3,"Drama, Horror, Mystery"
"Charles Randolph-Wright",3,"Drama, Family, Musical"
"Chika Kan",3,"Drama, Music, Romance"
"Chris Cobb",3,"Action, Crime, Thriller"
"Chris Provenzano",3,"Comedy, Drama, Music"
"Chris Shafer",3,"Comedy, Drama, Romance"
"Christian Fournier",3,"Comedy, Drama, Sport"
"Christian González",3,"Action, Crime, Drama"
"Christine Jeffrey",3,"Action, Mystery, Thriller"
"Christoph Willumeit",3,"Action, Horror, Mystery"
"Christopher Markus",3,"Adventure, Family, Fantasy"
"Christopher Miller",3,"Adventure, Animation, Comedy"
"Christopher Olness",3,"Comedy, Drama, Music"
"Christopher Wilkinson",3,"Biography, Drama, Music"
"Chuck Hogan",3,"Crime, Drama, Thriller"
"Chuck Konzelman",3,"Comedy, Horror, Romance"
"Claver Salizzato",3,"Drama, Romance, War"
"Clive Fleury",3,"Action, Adventure, Comedy"
"Colin Trevorrow",3,"Action, Adventure, Sci-Fi"
"Corey Large",3,"Comedy, Drama, Thriller"
"Cory Edwards",3,"Adventure, Animation, Comedy"
"Cressida Cowell",3,"Action, Adventure, Animation"
"D. Charles Griffith",3,"Comedy, Drama, Music"
"Daisuke Tengan",3,"Crime, Drama, Mystery"
"Damian Chapa",3,"Action, Crime, Drama"
"Daniel Gerson",3,"Adventure, Animation, Comedy"
"Daniel Möllberg",3,"Adventure, Drama, Mystery"
"Daniel P. Coughlin",3,"Horror, Mystery, Thriller"
"Daniel Shere",3,"Action, Adventure, Animation"
"Dave Callaham",3,"Action, Adventure, Sci-Fi"
"Dave Eisenstark",3,"Comedy, Family, Romance"
"David Ball",3,"Horror, Mystery, Thriller"
"David Belton",3,"Drama, History, War"
"David Berenbaum",3,"Comedy, Family, Fantasy"
"David Bros",3,"Animation, Comedy, Family"
"David Dobkin",3,"Action, Adventure, Comedy"
"David Farr",3,"Action, Adventure, Drama"
"David Hubbard",3,"Comedy, Drama, Fantasy"
"David Javerbaum",3,"Adventure, Animation, Comedy"
"David Keith Miller",3,"Mystery, Romance, Thriller"
"David Magee",3,"Adventure, Drama, Fantasy"
"David Mandel",3,"Adventure, Comedy, Family"
"David McKenna",3,"Biography, Crime, Drama"
"David Noel Bourke",3,"Drama, Mystery, Thriller"
"David Pujol",3,"Drama, Horror, Thriller"
"David Seltzer",3,"Horror, Mystery, Thriller"
"David Sherman",3,"Comedy, Family, Fantasy"
"David Wilson",3,"Biography, Documentary, Music"
"David Wolstencroft",3,"Drama, History, War"
"Dean DeBlois",3,"Action, Adventure, Animation"
"Dean Georgaris",3,"Action, Adventure, Fantasy"
"Dean Wolfe",3,"Action, Crime, Thriller"
"Deborah Kaplan",3,"Comedy, Family, Romance"
"Demian Fuica",3,"Comedy, Horror, Sci-Fi"
"Derek Connolly",3,"Action, Adventure, Sci-Fi"
"Diana Wagman",3,"Comedy, Drama, Fantasy"
"Don Cheadle",3,"Biography, Drama, Music"
"Don DeLillo",3,"Comedy, Drama, Sport"
"Don Rhymer",3,"Action, Adventure, Comedy"
"Donald Borza II",3,"Action, Drama, Romance"
"Dorian Supin",3,"Biography, Documentary, Music"
"Douglas McGrath",3,"Biography, Crime, Drama"
"Dr. Seuss",3,"Adventure, Comedy, Family"
"Dwayne Johnson-Cochran",3,"Action, Comedy, Drama"
"Dylan Sellers",3,"Action, Adventure, Comedy"
"Eddie Guerra",3,"Action, Comedy, Crime"
"Edgar Rice Burroughs",3,"Action, Adventure, Sci-Fi"
"Edmond Wong",3,"Action, Fantasy, Thriller"
"Elia Suleiman",3,"Comedy, Drama, Romance"
"Elias Castillo",3,"Drama, Horror, Mystery"
"Elmore Leonard",3,"Comedy, Crime, Thriller"
"Emily Giffin",3,"Comedy, Drama, Romance"
"Eric Hendershot",3,"Adventure, Family, Mystery"
"Eric Miller",3,"Action, Sci-Fi, Thriller"
"Eric Red",3,"Horror, Mystery, Thriller"
"Esteve Pujol",3,"Drama, Horror, Thriller"
"Everett De Roche",3,"Horror, Mystery, Sci-Fi"
"Fabian Wullenweber",3,"Drama, Romance, Thriller"
"Farhan Akhtar",3,"Comedy, Drama, Romance"
"Felix Chong",3,"Crime, Mystery, Thriller"
"Fran Walsh",3,"Adventure, Drama, Fantasy"
"Francisco Ibáñez",3,"Action, Adventure, Comedy"
"Franck Magnier",3,"Fantasy, Horror, Mystery"
"Frank Abagnale Jr.",3,"Biography, Crime, Drama"
"Frank Lupo",3,"Action, Adventure, Crime"
"François Cognard",3,"Fantasy, Horror, Mystery"
"Fred Burke",3,"Comedy, Family, Romance"
"Ganesh Patro",3,"Action, Comedy, Romance"
"Gary Cook",3,"Biography, Drama, History"
"George A. Romero",3,"Horror, Sci-Fi, Thriller"
"George Gallo",3,"Action, Comedy, Crime"
"George Plimpton",3,"Biography, Crime, Drama"
"Girish Dhamija",3,"Drama, Romance, Thriller"
"Greg Arce",3,"Drama, Horror, Thriller"
"Greg Pruss",3,"Crime, Drama, Thriller"
"György Dobray",3,"Comedy, Crime, Drama"
"Géla Babluani",3,"Crime, Drama, Thriller"
"Habib Faisal",3,"Comedy, Drama, Musical"
"Hafiz Farid",3,"Biography, Documentary, Music"
"Hamilton von Watts",3,"Comedy, Drama, Music"
"Hansal Mehta",3,"Action, Crime, Drama"
"Harald Zwart",3,"Action, Adventure, Comedy"
"Hark Tsui",3,"Adventure, Animation, Fantasy"
"Harry Elfont",3,"Comedy, Family, Romance"
"Harry Enfield",3,"Comedy, Music, War"
"Harry Longstreet",3,"Action, Crime, Drama"
"Hayao Miyazaki",3,"Adventure, Animation, Fantasy"
"Heidi Levitt",3,"Comedy, Drama, Fantasy"
"Hemant Madhukar",3,"Drama, Horror, Thriller"
"Henri Charr",3,"Adventure, Comedy, Family"
"Henry Jaglom",3,"Comedy, Drama, Romance"
"Hergé",3,"Action, Adventure, Animation"
"Herman Yau",3,"Crime, Horror, Mystery"
"Hideaki Anno",3,"Action, Animation, Drama"
"Hiroshi Matsumoto",3,"Action, Crime, Fantasy"
"Imre Madách",3,"Animation, Drama, History"
"Imtiaz Ali",3,"Comedy, Drama, Romance"
"Irena Brignull",3,"Adventure, Animation, Comedy"
"Ishaan Trivedi",3,"Comedy, Drama, Romance"
"István Bujtor",3,"Adventure, Comedy, Romance"
"J. Douglas Wentworth",3,"Action, Adventure, Thriller"
"J. Riley Lagesen",3,"Comedy, Crime, Family"
"J.R. McGarrity",3,"Comedy, Horror, Romance"
"J.R.R. Tolkien",3,"Adventure, Drama, Fantasy"
"Jaideep Sahni",3,"Drama, Family, Sport"
"James Evans",3,"Action, Comedy, Drama"
"James Lee Burke",3,"Crime, Drama, Mystery"
"James Orr",3,"Comedy, Crime, Family"
"James Portolese",3,"Action, Crime, Drama"
"James Yuen",3,"Crime, Drama, Thriller"
"Jang-Hyun Shin",3,"Animation, Drama, Fantasy"
"Janus Nabil Bakrawi",3,"Drama, Romance, Thriller"
"Jason Hice",3,"Horror, Mystery, Thriller"
"Jason Wolthuizen",3,"Action, Mystery, Thriller"
"Jeff Crook",3,"Comedy, Crime, Drama"
"Jeff Hare",3,"Action, Drama, Thriller"
"Jeff Nathanson",3,"Biography, Crime, Drama"
"Jeff Schaffer",3,"Adventure, Comedy, Family"
"Jeffrey Bushell",3,"Adventure, Animation, Family"
"Jeffrey Jurgensen",3,"Action, Adventure, Comedy"
"Jen Smolka",3,"Comedy, Drama, Romance"
"Jennie Snyder Urman",3,"Comedy, Drama, Romance"
"Jenö Rejtö",3,"Adventure, Comedy, Romance"
"Jerry Lopez Sineneng",3,"Action, Crime, Drama"
"Jerry Siegel",3,"Action, Adventure, Sci-Fi"
"Jerzy Kromolowski",3,"Crime, Drama, Mystery"
"Jess Mancilla",3,"Adventure, Comedy, Family"
"Jessica O'Toole",3,"Comedy, Family, Romance"
"Jesus Nebot",3,"Crime, Drama, Thriller"
"Jesús Franco",3,"Action, Adventure, Thriller"
"Jesús de la Vega",3,"Action, Adventure, Comedy"
"Jill Culton",3,"Adventure, Animation, Comedy"
"Jim Cruickshank",3,"Comedy, Crime, Family"
"Jim Herzfeld",3,"Comedy, Family, Sport"
"Jim Reardon",3,"Adventure, Animation, Family"
"Jim Schutze",3,"Biography, Crime, Drama"
"Jing Wong",3,"Crime, Drama, Thriller"
"Jira Maligool",3,"Biography, Comedy, Drama"
"Jirô Akagawa",3,"Crime, Drama, Mystery"
"Joanne Reay",3,"Action, Adventure, Drama"
"Joaquim Leitão",3,"Drama, Mystery, War"
"Joe Carnahan",3,"Action, Adventure, Crime"
"Joe D'Amato",3,"Adult, Drama, History"
"Joe Ma",3,"Comedy, Drama, Fantasy"
"Joe Shuster",3,"Action, Adventure, Sci-Fi"
"Joel Cohen",3,"Comedy, Family, Fantasy"
"Joelle Touma",3,"Crime, Drama, Mystery"
"John Aglialoro",3,"Drama, Mystery, Sci-Fi"
"John B. Holway",3,"Action, Drama, History"
"John Cleese",3,"Adventure, Animation, Comedy"
"John Collee",3,"Biography, Drama, Romance"
"John Garvin",3,"Action, Adventure, Drama"
"John H. Groberg",3,"Adventure, Biography, Drama"
"John Herzfeld",3,"Comedy, Crime, Drama"
"John Hoffman",3,"Comedy, Drama, Family"
"John Lasseter",3,"Adventure, Animation, Comedy"
"John Logan",3,"Adventure, Drama, Family"
"John P. Davies",3,"Horror, Mystery, Thriller"
"John Quaintance",3,"Comedy, Family, Romance"
"John Ridley",3,"Action, Drama, History"
"John Stockwell",3,"Biography, Comedy, Crime"
"John William Corrington",3,"Action, Adventure, Drama"
"Jon Amiel",3,"Biography, Drama, Romance"
"Jonathan Jakubowicz",3,"Action, Crime, Drama"
"Jonathan Penner",3,"Crime, Drama, Thriller"
"Jordan Belfort",3,"Biography, Comedy, Crime"
"Jorge Olguín",3,"Drama, Fantasy, Horror"
"Jose Javier Reyes",3,"Comedy, Horror, Thriller"
"Jose Rosete",3,"Drama, Horror, Mystery"
"Jose Zambrano Cassella",3,"Action, Drama, Horror"
"Joseph Barbera",3,"Comedy, Family, Romance"
"Josh Crook",3,"Comedy, Crime, Drama"
"Juan Sasturain",3,"Action, Adventure, Comedy"
"Juan Vicente Pozuelo",3,"Action, Adventure, Comedy"
"Judi Barrett",3,"Adventure, Animation, Comedy"
"Julia Montejo",3,"Crime, Drama, Thriller"
"Julie Delpy",3,"Biography, Drama, History"
"Jung-ha Kim",3,"Animation, Drama, Fantasy"
"Justin Marks",3,"Action, Crime, Fantasy"
"Justin Stanley",3,"Action, Sci-Fi, Thriller"
"K.P. Jagan",3,"Action, Drama, Romance"
"Kaizô Hayashi",3,"Crime, Drama, Mystery"
"Karan Kashyap",3,"Comedy, Drama, Romance"
"Karan Vishwanath Kashyap",3,"Comedy, Drama, Romance"
"Kassim Jagmagia",3,"Comedy, Drama, Romance"
"Katalin Turóczy",3,"Comedy, Crime, Drama"
"Keisuke Matsuoka",3,"Fantasy, Horror, Thriller"
"Keoni Waxman",3,"Action, Adventure, Drama"
"Kevin Bernhardt",3,"Action, Adventure, Drama"
"Kevin Collins",3,"Action, Adventure, Thriller"
"Kevin Hennelly",3,"Crime, Mystery, Thriller"
"Kevin Smith",3,"Action, Horror, Thriller"
"Kirk DeMicco",3,"Adventure, Animation, Comedy"
"Kiyoshi Kurosawa",3,"Horror, Sci-Fi, Thriller"
"Kodi Ramakrishna",3,"Action, Comedy, Romance"
"Kona Venkat",3,"Action, Crime, Drama"
"Kyle Kramer",3,"Comedy, Drama, Thriller"
"Lalit Mahajan",3,"Comedy, Drama, Family"
"Larry Bishop",3,"Action, Drama, Thriller"
"Laura Casabe",3,"Comedy, Drama, Sci-Fi"
"Laurent Chalumeau",3,"Horror, Mystery, Romance"
"Laurent Hadida",3,"Drama, Horror, Mystery"
"Lawrence Block",3,"Action, Crime, Drama"
"Lawrence Lim",3,"Crime, Drama, Thriller"
"Lee Unkrich",3,"Adventure, Animation, Comedy"
"Liane Bonin",3,"Crime, Drama, Thriller"
"Linda Morris",3,"Comedy, Drama, Romance"
"Lindsay Bourne",3,"Action, Crime, Drama"
"Lois Lowry",3,"Drama, Romance, Sci-Fi"
"Louis Saia",3,"Comedy, Drama, Sport"
"Louise Manjaji",3,"Comedy, Drama, Romance"
"Lucie Konásová",3,"Comedy, Family, Fantasy"
"Luis Barone",3,"Action, Adventure, Comedy"
"Lukas Moodysson",3,"Comedy, Drama, Romance"
"Luís Lopes",3,"Drama, Mystery, War"
"Lynne Moses",3,"Drama, Mystery, Thriller"
"M. Christine Vanden Eede",3,"Drama, Mystery, Thriller"
"M. Night Shyamalan",3,"Action, Adventure, Family"
"MJ Bassett",3,"Drama, Horror, Mystery"
"Major Ravi",3,"Action, Drama, War"
"Manuel Fernández Buces",3,"Action, Animation, Comedy"
"Mara Leveritt",3,"Biography, Crime, Drama"
"Marcell Jankovics",3,"Animation, Drama, History"
"Maria Grimm",3,"Horror, Mystery, Romance"
"Marie Rubin",3,"Action, Drama, Thriller"
"Marjane Satrapi",3,"Animation, Biography, Drama"
"Mark Andrews",3,"Action, Adventure, Sci-Fi"
"Mark Dindal",3,"Adventure, Animation, Comedy"
"Mark Loughman",3,"Horror, Mystery, Thriller"
"Mark O'Keefe",3,"Comedy, Family, Fantasy"
"Mark Steinberg",3,"Crime, Mystery, Thriller"
"Marko Leino",3,"Action, Mystery, Thriller"
"Marko Mäkilaakso",3,"Action, Adventure, Horror"
"Martin Forsström",3,"Adventure, Drama, Mystery"
"Mary Olson-Kromolowski",3,"Crime, Drama, Mystery"
"Masahiro Kobayashi",3,"Crime, Drama, Mystery"
"Masayuki Ochiai",3,"Fantasy, Horror, Thriller"
"Masayuki Suô",3,"Comedy, Drama, Music"
"Mate Matisic",3,"Comedy, Drama, Romance"
"Mati Põldre",3,"Biography, Drama, Music"
"Matt Dorff",3,"Horror, Mystery, Thriller"
"Matt Manfredi",3,"Action, Adventure, Comedy"
"Max Barry",3,"Comedy, Drama, Romance"
"Max Borenstein",3,"Action, Adventure, Sci-Fi"
"Maxime Alexandre",3,"Drama, Mystery, Thriller"
"Michael A. Lerner",3,"Biography, Drama, Music"
"Michael Adante",3,"Action, Crime, Drama"
"Michael Arndt",3,"Adventure, Animation, Comedy"
"Michael Chabon",3,"Action, Adventure, Sci-Fi"
"Michael Mitnick",3,"Drama, Romance, Sci-Fi"
"Michael Petroni",3,"Adventure, Family, Fantasy"
"Michael Spierig",3,"Action, Horror, Sci-Fi"
"Michael Swerdlick",3,"Comedy, Drama, Romance"
"Mick Rossi",3,"Crime, Drama, Thriller"
"Miguel Bardem",3,"Action, Adventure, Comedy"
"Mike Disa",3,"Adventure, Animation, Comedy"
"Milos Macourek",3,"Animation, Comedy, Family"
"Mitch Davis",3,"Adventure, Biography, Drama"
"Mohan Nair",3,"Action, Comedy, Crime"
"Mohd. Noor Kadir",3,"Comedy, Drama, Romance"
"Mushtaq Shiekh",3,"Action, Crime, Drama"
"N.D. Lala",3,"Action, Drama, Romance"
"Naeem-Ejaz",3,"Comedy, Drama, Family"
"Nick Guthe",3,"Comedy, Crime, Drama"
"Nick Love",3,"Action, Crime, Drama"
"Nurulsyahida Fadzil",3,"Comedy, Drama, Romance"
"Oliver Harrison",3,"Drama, Fantasy, Mystery"
"Oren Moverman",3,"Biography, Drama, Music"
"P.J. Haarsma",3,"Action, Crime, Thriller"
"Padam Kumar",3,"Action, Crime, Drama"
"Paul Chung",3,"Crime, Horror, Mystery"
"Paul Harris Boardman",3,"Biography, Crime, Drama"
"Paul Rudd",3,"Action, Comedy, Sci-Fi"
"Paul Vicknair",3,"Comedy, Drama, Romance"
"Pete Dris",3,"Action, Crime, Drama"
"Peter Atkins",3,"Action, Adventure, Horror"
"Peter Craig",3,"Crime, Drama, Thriller"
"Peter Jackson",3,"Adventure, Drama, Fantasy"
"Peter M. Lenkov",3,"Action, Adventure, Comedy"
"Peter Spierig",3,"Action, Horror, Sci-Fi"
"Peter Spirer",3,"Biography, Documentary, Music"
"Peter Wellington",3,"Crime, Drama, Romance"
"Phil Claydon",3,"Horror, Mystery, Thriller"
"Phil Hay",3,"Action, Adventure, Comedy"
"Phil Lord",3,"Adventure, Animation, Comedy"
"Philip Zimbardo",3,"Biography, Drama, History"
"Philippa Boyens",3,"Adventure, Drama, Fantasy"
"Philippa Goslett",3,"Drama, Mystery, Thriller"
"Pradeep Ghatak",3,"Action, Crime, Drama"
"Preetham Gubbi",3,"Comedy, Music, Romance"
"Priyadarshan",3,"Action, Drama, History"
"Quentin Tarantino",3,"Adventure, Drama, War"
"Rajasimha Tadinada",3,"Comedy, Drama, Romance"
"Rajeev Kaul",3,"Action, Drama, Family"
"Ralph Harden",3,"Action, Drama, Horror"
"Ram Govind",3,"Action, Drama, Family"
"Randal Keynes",3,"Biography, Drama, Romance"
"Randi Barnes",3,"Adventure, Animation, Family"
"Ranjith",3,"Action, Drama, Romance"
"Ray Wright",3,"Horror, Sci-Fi, Thriller"
"Rebecca Goldsmith",3,"Drama, Mystery, Thriller"
"Regner Grasten",3,"Comedy, Family, Musical"
"Reijo Mäki",3,"Action, Mystery, Thriller"
"René Cardona III",3,"Action, Animation, Comedy"
"Rian Johnson",3,"Action, Adventure, Comedy"
"Richard Alwyn",3,"Drama, History, War"
"Richard Goudreau",3,"Comedy, Family, Fantasy"
"Richard Paulson",3,"Adventure, Drama, Mystery"
"Rick Basabilvazo",3,"Action, Comedy, Drama"
"Rick Jaffa",3,"Action, Adventure, Sci-Fi"
"Ricky Lee",3,"Action, Crime, Drama"
"Rob Hedden",3,"Action, Crime, Thriller"
"Robert Adetuyi",3,"Action, Comedy, Crime"
"Robert B. Weide",3,"Drama, Romance, Sci-Fi"
"Robert Geoffrion",3,"Action, Comedy, Crime"
"Robert Rodriguez",3,"Action, Crime, Thriller"
"Robert Tinnell",3,"Comedy, Family, Fantasy"
"Robert Zimmer Jr.",3,"Comedy, Drama, Music"
"Roger Delmont",3,"Drama, Horror, Thriller"
"Roger Pullis",3,"Biography, Crime, Drama"
"Roger S. Baum",3,"Adventure, Animation, Family"
"Ron Anderson",3,"Adventure, Animation, Comedy"
"Ron Barrett",3,"Adventure, Animation, Comedy"
"Ron Bass",3,"Comedy, Drama, Romance"
"Ron J. Friedman",3,"Adventure, Animation, Comedy"
"Ronald K. Armstrong",3,"Comedy, Horror, Sci-Fi"
"Ronnie Christensen",3,"Mystery, Romance, Thriller"
"Ryan Combs",3,"Drama, Fantasy, Thriller"
"Ryan Lamaster",3,"Drama, Horror, Romance"
"Salvatore Polisi",3,"Action, Biography, Crime"
"Sam Lake",3,"Action, Crime, Drama"
"Sam Logan Khaleghi",3,"Crime, Drama, Romance"
"Sarah Jacobson",3,"Comedy, Drama, Romance"
"Saran",3,"Action, Comedy, Crime"
"Satheesh Venganoor",3,"Comedy, Drama, Romance"
"Saurabh Shukla",3,"Action, Crime, Drama"
"Scott Derrickson",3,"Biography, Crime, Drama"
"Scott Frank",3,"Action, Crime, Drama"
"Scott Wiper",3,"Action, Crime, Thriller"
"Sean Michael Beyer",3,"Drama, Horror, Romance"
"Sean Stanek",3,"Crime, Drama, Thriller"
"Seth Lochhead",3,"Action, Adventure, Drama"
"Seung-won Kyong",3,"Animation, Drama, Fantasy"
"Shaad Ali",3,"Comedy, Drama, Musical"
"Shabbir Ahmed",3,"Action, Comedy, Crime"
"Shashi Balooja",3,"Drama, Mystery, Thriller"
"Shaun McCarthey",3,"Action, Drama, Thriller"
"Shinji Imaoka",3,"Crime, Drama, Mystery"
"Shiraz Ahmed",3,"Action, Drama, Romance"
"Shunji Iwai",3,"Drama, Music, Romance"
"Shôtarô Oikawa",3,"Comedy, Drama, Romance"
"Siby K. Thomas",3,"Action, Comedy, Drama"
"Simon Lui",3,"Crime, Horror, Mystery"
"Skip Woods",3,"Action, Adventure, Crime"
"Sonja Dunson",3,"Drama, Music, Romance"
"Srdjan Dragojevic",3,"Comedy, Crime, Drama"
"Stacy Title",3,"Crime, Drama, Thriller"
"Stan Redding",3,"Biography, Crime, Drama"
"Stephanie Sinclaire",3,"Drama, Horror, Mystery"
"Stephen Fry",3,"Adventure, Animation, Comedy"
"Stephen J. Rivele",3,"Biography, Drama, Music"
"Stephen McFeely",3,"Adventure, Family, Fantasy"
"Stephen Sinclair",3,"Adventure, Drama, Fantasy"
"Steve Bencich",3,"Adventure, Animation, Comedy"
"Steve Edmiston",3,"Action, Drama, Thriller"
"Steve Oedekerk",3,"Comedy, Family, Fantasy"
"Steve Rosen",3,"Documentary, History, War"
"Steven Baigelman",3,"Biography, Drama, Music"
"Steven E. de Souza",3,"Action, Adventure, Fantasy"
"Steven Moffat",3,"Action, Adventure, Animation"
"Stewart Harding",3,"Action, Comedy, Crime"
"Sunil K. Anand",3,"Action, Comedy, Drama"
"Suparn Varma",3,"Action, Crime, Drama"
"Suraj Sanim",3,"Biography, Drama, Musical"
"Sutapa Sikdar",3,"Action, Crime, Drama"
"T. Damodaran",3,"Action, Drama, History"
"Takashi Nishiyama",3,"Action, Crime, Fantasy"
"Talat Rekhi",3,"Action, Drama, Romance"
"Tamami Yamada",3,"Crime, Drama, Mystery"
"Tennyson Bardwell",3,"Comedy, Drama, Romance"
"Terence McKenna",3,"Animation, Documentary, Fantasy"
"Terence Winter",3,"Biography, Comedy, Crime"
"Teruo Abe",3,"Crime, Drama, Mystery"
"Thomas Garner",3,"Adventure, Comedy, Family"
"Tigmanshu Dhulia",3,"Comedy, Drama, Musical"
"Tim Martin Crouse",3,"Drama, Mystery, Thriller"
"Tim Talbott",3,"Biography, Drama, History"
"Timothy Ford",3,"Action, Biography, Crime"
"Tino Navarro",3,"Drama, Mystery, War"
"Todd Edwards",3,"Adventure, Animation, Comedy"
"Tom J. Astle",3,"Action, Adventure, Animation"
"Tom Wheeler",3,"Action, Adventure, Animation"
"Tomas Wortley",3,"Comedy, Drama, Sci-Fi"
"Tonino Benacquista",3,"Horror, Mystery, Romance"
"Tony Leech",3,"Adventure, Animation, Comedy"
"Toshihiko Matsuo",3,"Crime, Drama, Music"
"Toshiyuki Morioka",3,"Crime, Drama, Music"
"Tristan Patterson",3,"Action, Biography, Crime"
"Troy Byer",3,"Comedy, Drama, Romance"
"Udaykrishnan",3,"Action, Comedy, Drama"
"Umesh Sharma",3,"Action, Drama, History"
"Urmi Juvekar",3,"Comedy, Drama, Romance"
"Valeri Bychenkov",3,"Comedy, Drama, Romance"
"Venu",3,"Comedy, Drama, Romance"
"Victor Kepler",3,"Action, Drama, Thriller"
"Vikram Bhatt",3,"Drama, Romance, Thriller"
"Vinay Kamath",3,"Drama, Romance, Thriller"
"Vinayan",3,"Action, Comedy, Drama"
"Vincent Campanella",3,"Action, Crime, Drama"
"Vincent Monton",3,"Horror, Mystery, Thriller"
"Vincent Paronnaud",3,"Animation, Biography, Drama"
"Vinko Bresan",3,"Comedy, Drama, Romance"
"Vlastimil Mistrík",3,"Animation, Comedy, Family"
"Vy Higginsen",3,"Drama, Family, Musical"
"Václav Vorlícek",3,"Animation, Comedy, Family"
