"director","actor","shared_movies","avg_rating"
"Tommy Wood","Bill Oberst Jr.",2,8.20
"Gustavo Camelot","Gustavo Camelot",2,8.20
"Guy Ritchie","Jason Statham",2,8.15
"Guy Ritchie","Vinnie Jones",2,8.15
"S.J. Suryah","Pawan Kalyan",2,8.10
"JoJo Henrickson","Ruben Garfias",2,8.10
"Mihail Getsov","Iliya Vasilev",2,8.10
"Kieron Estrada","Ruben Garfias",2,8.10
"Pete Docter","Daniel Gerson",2,8.10
"Darren Aronofsky","Winona Ryder",2,8.00
"Darren Aronofsky","Sebastian Stan",2,8.00
"Darren Aronofsky","Natalie Portman",2,8.00
"Darren Aronofsky","Mila Kunis",2,8.00
"Paul Thomas Anderson","Pat Healy",2,8.00
"Darren Aronofsky","Ksenia Solo",2,8.00
"Darren Aronofsky","Kristina Anapau",2,8.00
"Darren Aronofsky","Janet Montgomery",2,8.00
"Darren Aronofsky","Benjamin Millepied",2,8.00
"Darren Aronofsky","Barbara Hershey",2,8.00
"Joss Whedon","Chris Evans",2,8.00
"Joss Whedon","Jeremy Renner",2,8.00
"Joss Whedon","Mark Ruffalo",2,8.00
"Joss Whedon","Robert Downey Jr.",2,8.00
"Joss Whedon","Scarlett Johansson",2,8.00
"Max Makowski","Anthony DiMaria",2,8.00
"Darren Aronofsky","Vincent Cassel",2,8.00
"Jacques Perrin","Manolo Garcia",2,7.70
"Jacques Perrin","Matthias Brandt",2,7.70
"Jacques Perrin","Oleg Basilashvili",2,7.70
"Jacques Perrin","Pedro Armendáriz Jr.",2,7.70
"Jacques Perrin","Pierce Brosnan",2,7.70
"Jacques Perrin","Aldo Baglio",2,7.70
"Leland Steigs","Jonah Baker",2,7.70
"Leland Steigs","Josh Anderson",2,7.70
"Kazuya Tsurumaki","Yuriko Yamaguchi",2,7.50
"Gary Cook","Matthew Bellows",2,7.50
"Hideaki Anno","Akira Ishida",2,7.50
"Hideaki Anno","Fumihiko Tachiki",2,7.50
"Hideaki Anno","Kotono Mitsuishi",2,7.50
"Hideaki Anno","Megumi Ogata",2,7.50
"Hideaki Anno","Motomu Kiyokawa",2,7.50
"Hideaki Anno","Takehito Koyasu",2,7.50
"Hideaki Anno","Yuriko Yamaguchi",2,7.50
"Hideaki Anno","Yûko Miyamura",2,7.50
"Jan Troell","Birte Heribertson",2,7.50
"Kazuya Tsurumaki","Akira Ishida",2,7.50
"Kazuya Tsurumaki","Fumihiko Tachiki",2,7.50
"Kazuya Tsurumaki","Kotono Mitsuishi",2,7.50
"Kazuya Tsurumaki","Megumi Ogata",2,7.50
"Kazuya Tsurumaki","Motomu Kiyokawa",2,7.50
"Kazuya Tsurumaki","Takehito Koyasu",2,7.50
"Kazuya Tsurumaki","Yûko Miyamura",2,7.50
"T.C. Christensen","Matthew Bellows",2,7.50
"Imtiaz Ali","Ayesha Jhulka",2,7.40
"Oliver Harrison","Emma Hill",2,7.40
"Steven Spielberg","Enn Reitel",2,7.30
"Steven Spielberg","Daniel Craig",2,7.30
"Steven Spielberg","Andy Serkis",2,7.30
"Steven Spielberg","Daniel Mays",2,7.30
"Peyton Reed","Paul Rudd",2,7.20
"Peyton Reed","Corey Stoll",2,7.20
"Peyton Reed","Anthony Mackie",2,7.20
"Vinko Bresan","Inge Appelt",2,7.20
"Roger Lim","Roger Lim",2,7.20
"Roger Lim","Andy Hnilo",2,7.20
"Zack Snyder","Henry Cavill",2,7.10
"Xuechang Lu","Bin Li",2,7.00
"Marc Webb","Andrew Garfield",2,6.90
"Jean-Pierre Améris","Alba Gaïa Bellugi",2,6.90
"Marc Webb","Rhys Ifans",2,6.90
"Kyle Patrick Alvarez","Ezra Miller",2,6.80
"Kyle Patrick Alvarez","Tye Sheridan",2,6.80
"Graham Annable","Nika Futterman",2,6.80
"Anthony Stacchi","Nika Futterman",2,6.80
"Kyle Patrick Alvarez","Ki Hong Lee",2,6.80
"Graham Annable","Steve Blum",2,6.80
"Graham Annable","Pat Fraley",2,6.80
"Anthony Stacchi","Steve Blum",2,6.80
"Anthony Stacchi","Pat Fraley",2,6.80
"Kaizô Hayashi","Masatoshi Nagase",2,6.70
"Louis Saia","Paul Houde",2,6.70
"Chris Miller","Guillermo del Toro",2,6.60
"Jeremy Garelick","Kevin Hart",2,6.60
"Jeremy Garelick","Jorge Garcia",2,6.60
"Jeremy Garelick","Dan Gill",2,6.60
"Jeremy Garelick","Corey Holcomb",2,6.60
"Jeremy Garelick","Colin Kane",2,6.60
"Jeremy Garelick","Affion Crockett",2,6.60
"Jeanne Waltz","Yves Verhoeven",2,6.60
"Jason Bunch","James Hong",2,6.60
"Jason Bunch","Dennis Rodman",2,6.60
"Chris Wedge","Jim Conroy",2,6.60
"Robert Rodriguez","Jessica Alba",2,6.55
"Andrew Chan","Jan Lamb",2,6.50
"Andrew Chan","Akira Ishida",2,6.50
"Andrew Chan","Vivian Lai",2,6.50
"Andrew Chan","Sylvia Chang",2,6.50
"Andrew Chan","Sammo Kam-Bo Hung",2,6.50
"Andrew Chan","Megumi Hayashibara",2,6.50
"Andrew Chan","Kelly Chen",2,6.50
"Andrew Chan","Jordan Chan",2,6.50
"Andrew Chan","Eric Kot",2,6.50
"Saran","Kalabhavan Mani",2,6.30
"Sarah Jacobson","Davey Havok",2,6.10
"Peter McGennis","Bruce Glover",2,6.10
"Nick Guthe","Luke Wilson",2,5.80
"Nick Guthe","Carrie-Anne Moss",2,5.80
"Cal Brunker","Doug Abrahams",2,5.80
"Shu-Kai Chung","Eric Tsang",2,5.70
"Ed Bye","Harry Enfield",2,5.70
"Shu-Kai Chung","Emotion Cheung",2,5.70
"Shu-Kai Chung","Pak-Cheung Chan",2,5.70
"Shu-Kai Chung","Suki Kwan",2,5.70
"Shu-Kai Chung","Gallen Lo",2,5.70
"David Hogan","Jon Voight",2,5.60
"Robin Christian","Michael Muhney",2,5.55
"Robin Christian","Eddie Jones",2,5.55
"Robert Dornhelm","Ben Cross",2,5.50
"George Bessudo","Jack Donner",2,5.50
"Robert Dornhelm","Dennis Hopper",2,5.50
"Robert Dornhelm","Linus Roache",2,5.50
"Robert Dornhelm","Stuart Townsend",2,5.50
"John McLean","John McLean",2,5.30
"Rajasenan","Kalabhavan Mani",2,5.30
"John McLean","Olivia Hardin",2,5.30
"John McLean","Hallie Martin",2,5.30
"Petrichor Bharali","Koel Purie",2,5.00
"Glenio Bonder","Ed Stoppard",2,5.00
"Will Finn","Martin Short",2,4.90
"MJ Bassett","Erin Pitt",2,4.90
"Daniel St. Pierre","Martin Short",2,4.90
"MJ Bassett","Adelaide Clemens",2,4.90
"Evan Oppenheimer","Stefania Tortorella",2,4.80
"Jonathan Liebert","Bill Sutherland",2,4.80
"Jonathan Liebert","Jonathan Durante",2,4.80
"Rajendra","Mohan Babu",2,4.70
"Chumilla-Carbajosa","Eduard Fernández",2,4.70
"Tamara Hernandez","Harry Ralston",2,4.70
"John Tatoulis","Carolyn Bock",2,4.60
"Bradley Rust Gray","Juno Temple",2,4.50
"András Szöke","Sándor Badár",2,4.50
"Patrick McKnight","Patrick McKnight",2,4.50
"Júlíus Kemp","Sigurjón Kjartansson",2,4.50
"Kuku Kohli","Aruna Irani",2,4.40
"Charles Randolph-Wright","Daurice Cummings",2,4.30
"Fernando Poe Jr.","Fernando Poe Jr.",2,4.30
"Arye Gross","Sean Kellman",2,4.20
"Bo Welch","Sean Hayes",2,4.20
"David Noel Bourke","Flora Nasseri Jensen",2,4.10
"Hansal Mehta","Mithun Chakraborty",2,4.10
"Demian Fuica","Leonardo Fuica",2,4.10
"James Barclay","Henrik Vestergaard",2,4.00
"Luis Barone","Juan Minujín",2,4.00
"Mikala Lage","Bente Eskesen",2,3.90
"Charlotte Sachs Bostrup","Bente Eskesen",2,3.90
"Ryan Combs","Ving Rhames",2,3.90
"Miguel Bardem","Pepe Viyuela",2,3.80
"Brian Levant","Alan Cumming",2,3.80
"Nestor Miranda","Lloyd DeLeon",2,3.80
"Roger Christian","Carmen Chaplin",2,3.80
"Andrzej Bartkowiak","Michael Clarke Duncan",2,3.70
"Shaad Ali","Lara Dutta",2,3.70
"Paul Sampson","Paul Sampson",2,3.70
"Andrzej Bartkowiak","Neal McDonough",2,3.70
"Andrzej Bartkowiak","Taboo",2,3.70
"Shaad Ali","Amitabh Bachchan",2,3.70
"Bence Gyöngyössy","Sándor Gáspár",2,3.70
"Shaad Ali","Manjit Singh",2,3.70
"Tony Vitale","Saran Barnun",2,3.60
"Damian Chapa","Maria Jaci",2,3.60
"Jose Zambrano Cassella","Juliet Reeves London",2,3.50
"Ajay Chandhok","Shweta Menon",2,3.40
"René Besson","Lisa Jay",2,3.30
"Václav Vorlícek","Jim Ward",2,3.30
"Václav Vorlícek","Kirk Thornton",2,3.30
"Václav Vorlícek","Lani Minella",2,3.30
"Václav Vorlícek","Lee Tockar",2,3.30
"Václav Vorlícek","Michael Dobson",2,3.30
"Václav Vorlícek","Sam Vincent",2,3.30
"Václav Vorlícek","Roger Jackson",2,3.30
"Václav Vorlícek","Robin Atkin Downes",2,3.30
"Dennis Dugan","Adam Sandler",2,3.30
"Václav Vorlícek","Chad Doreck",2,3.30
"Dennis Dugan","Eugenio Derbez",2,3.30
"Clive Fleury","Georgina Cates",2,3.20
"James Arnett","Allie Bell",2,3.10
