"actor_name","decade","avg_rating_in_top20"
"Ravi","d1",8.400
"Revathi","d1",8.400
"Aishwarya Rai Bachchan","d1",8.400
"Mohanlal","d1",8.375
"Masahiko Nishimura","d1",8.300
"Ravi Babu","d1",8.300
"Shefali Shah","d1",8.300
"Yôji Matsuda","d1",8.300
"Nagarjuna Akkineni","d1",8.300
"Sonali Bendre","d1",8.300
"Pawan Kalyan","d1",8.300
"Narra Venkateswara Rao","d1",8.300
"Vasuki","d1",8.300
"Sudha","d1",8.300
"Anshu","d1",8.300
"Manoj Bajpayee","d1",8.300
"Paresh Rawal","d1",8.300
"J.D. Chakravarthi","d1",8.300
"Mohammad Ali","d1",8.300
"Cochin Hanifa","d1",8.300
"Raju Mavani","d1",8.300
"Kaoru Kobayashi","d1",8.300
"Venu Madhav","d1",8.300
"Yûko Tanaka","d1",8.300
"Urmila Matondkar","d1",8.300
"Yuriko Ishida","d1",8.300
"Makoto Satô","d1",8.300
"Nagesh","d1",8.300
"Ranganath","d1",8.300
"Sangeetha","d1",8.300
"Saurabh Shukla","d1",8.300
"Tetsu Watanabe","d1",8.300
"Sarma P.J.","d1",8.300
"Balaiah M.","d1",8.300
"Sumi Shimamoto","d1",8.300
"Kirti Reddy","d1",8.300
"Makrand Deshpande","d1",8.300
"Akira Nagoya","d1",8.300
"Aditya Srivastav","d1",8.300
"Tsunehiko Kamijô","d1",8.300
"Bachan Pachehra","d1",8.200
"Smith Seth","d1",8.200
"Gayatri Joshi","d1",8.200
"Arun Nalawade","d1",8.200
"Ewen Bremner","d1",8.200
"Ashwini Giri","d1",8.200
"Amruta Subhash","d1",8.200
"Ganesh Manjrekar","d1",8.200
"William Beck","d1",8.200
"Jason Statham","d1",8.200
"Sandeep Kulkarni","d1",8.200
"Stephen Graham","d1",8.200
"Ade","d1",8.200
"Vishnudutt Gaur","d1",8.200
"Andy Beckwith","d1",8.200
"Lekh Tandon","d1",8.200
"Ashwin Chitale","d1",8.200
"Kishori Ballal","d1",8.200
"Sandeep Pathak","d1",8.200
"Rajesh Vivek","d1",8.200
"Vibhawari Deshpande","d1",8.200
"Dayashankar Pandey","d1",8.200
"Vinnie Jones","d1",8.200
"Rajesh Balwani","d1",8.200
"Mickey Cantwell","d1",8.200
"Jason Buckham","d1",8.200
"Akira Ishida","d1",8.100
"Kotono Mitsuishi","d1",8.100
"Manju Warrier","d1",8.100
"Maniyanpilla Raju","d1",8.100
"Oduvil Unnikrishnan","d1",8.100
"Takehito Koyasu","d1",8.100
"Mugihito","d1",8.100
"Megumi Ogata","d1",8.100
"Fumihiko Tachiki","d1",8.100
"Yûko Miyamura","d1",8.100
"Augustine","d1",8.100
"Kunchan","d1",8.100
"Motomu Kiyokawa","d1",8.100
"Yuriko Yamaguchi","d1",8.100
"Megumi Hayashibara","d1",8.100
"Narendra Prasad","d1",8.100
"Srividya","d1",8.100
"Saikumar","d1",8.100
"Maggie Gyllenhaal","d2",9.100
"Aaron Eckhart","d2",9.100
"Heath Ledger","d2",9.100
"Morgan Freeman","d2",9.100
"Ron Dean","d2",9.100
"Gary Oldman","d2",9.100
"Michael Caine","d2",9.100
"Christian Bale","d2",9.100
"Monique Gabriela Curnen","d2",9.100
"Cillian Murphy","d2",9.100
"Francis X. McCarthy","d2",8.700
"David Oyelowo","d2",8.700
"Jessica Chastain","d2",8.700
"Collette Wolfe","d2",8.700
"John Lithgow","d2",8.700
"Ellen Burstyn","d2",8.700
"Mackenzie Foy","d2",8.700
"Timothée Chalamet","d2",8.700
"Anne Hathaway","d2",8.700
"József Gyabronka","d2",8.600
"Matthew McConaughey","d2",8.450
"Jeff Garlin","d2",8.400
"Eli Roth","d2",8.400
"Padmaja Rao","d2",8.400
"Fred Willard","d2",8.400
"Jacky Ido","d2",8.400
"Sanchita Shetty","d2",8.400
"Daniel Brühl","d2",8.400
"Michael Fassbender","d2",8.400
"Crisanto Neire","d2",8.400
"Balinese Tari Legong Dancers","d2",8.400
"Diganth","d2",8.400
"Gedeon Burkhard","d2",8.400
"Til Schweiger","d2",8.400
"Puti Sri Candra Dewi","d2",8.400
"Kathy Najimy","d2",8.400
"Putu Dinda Pratika","d2",8.400
"Sigourney Weaver","d2",8.400
"Elissa Knight","d2",8.400
"Kikumaru","d2",8.400
"Neenasam Ashwath","d2",8.400
"Mélanie Laurent","d2",8.400
"Ni Made Megahadi Pratiwi","d2",8.400
"Hiroshi Ishiguro","d2",8.400
"Kim Kopf","d2",8.400
"Olivier De Sagazan","d2",8.400
"Ladyboys of Cascade Bar","d2",8.400
"Pooja Gandhi","d2",8.400
"Sudha Belawadi","d2",8.400
"Karleen Griffin","d2",8.400
"Diane Kruger","d2",8.400
"Ganesh","d2",8.400
"Marcos Luna","d2",8.400
"Jai Jagdeesh","d2",8.400
"Christoph Waltz","d2",8.400
"Anant Nag","d2",8.400
"Ben Burtt","d2",8.400
"Rabbit","d2",8.400
"John Ratzenberger","d2",8.350
"Tim Allen","d2",8.300
"Don Rickles","d2",8.300
"Estelle Harris","d2",8.300
"John Morris","d2",8.300
"Michael Keaton","d2",8.300
"Joan Cusack","d2",8.300
"Ned Beatty","d2",8.300
"Wallace Shawn","d2",8.300
"Dharmavarapu Subramanyam","d2",8.200
"Saravanan","d2",8.200
"Jayasudha","d2",8.200
"Jean Dujardin","d2",8.200
"Siddharth","d2",8.200
"Sujatha Sivakumar","d2",8.200
"Rob Reiner","d2",8.200
"'Ganja' Karuppu","d2",8.200
"Jon Bernthal","d2",8.200
"Genelia Deshmukh","d2",8.200
"Joanna Lumley","d2",8.200
"Suvarna Panjavaranam","d2",8.200
"Ponvannan","d2",8.200
"Jon Favreau","d2",8.200
"Sevvazhairaj","d2",8.200
"Ammulu","d2",8.200
"Kyle Chandler","d2",8.200
"Kota Srinivasa Rao","d2",8.200
"Leonardo DiCaprio","d2",8.200
"Karthi","d2",8.200
"Priyamani","d2",8.200
"Margot Robbie","d2",8.200
"Sampath Raj","d2",8.200
"Neha Bamb","d2",8.200
"Jonah Hill","d2",8.150
"Seema Azmi","d2",8.100
"Gerard Butler","d2",8.100
"America Ferrera","d2",8.100
"Francis Boyle","d2",8.100
"Daniel Marks","d2",8.100
"Hamish Hughes","d2",8.100
"Eric Bana","d2",8.100
"Dan Doherty","d2",8.100
"Vidya Malvade","d2",8.100
"T.J. Miller","d2",8.100
"Peter Bouckaert","d2",8.100
"Jay Baruchel","d2",8.100
"Philip Seymour Hoffman","d2",8.100
"James Akins","d2",8.100
"Ramsey Clark","d2",8.100
"Toni Collette","d2",8.100
"Philip McGrade","d2",8.100
"Phyllis Bennis","d2",8.100
"Nisha Nair","d2",8.100
"Drew Christiansen","d2",8.100
"Daisy Kocher","d2",8.100
"Tanya Abrol","d2",8.100
"Shilpa Shukla","d2",8.100
"Sandia Furtado","d2",8.100
"Arya Menon","d2",8.100
"Bishop Barltlett Jr.","d2",8.100
"Kristen Wiig","d2",8.100
"Sharon Burke","d2",8.100
"Oliver Marks","d2",8.100
"Barry Humphries","d2",8.100
"Chitrashi Rawat","d2",8.100
"Robin Atkin Downes","d2",8.100
"Arik Ascherman","d2",8.100
"Noam Chomsky","d2",8.100
"Sagarika Ghatge","d2",8.100
"Christopher Massey","d2",8.100
"Christopher Mintz-Plasse","d2",8.100
"Craig Ferguson","d2",8.100
"Simon Abkarian","d2",8.000
"Vincent Cassel","d2",8.000
"Gyula Buss","d2",8.000
"János Bácskai","d2",8.000
"Benjamin Millepied","d2",8.000
"Iván Dengyel","d2",8.000
"Péter Benkö","d2",8.000
"Ferenc Borbiczky","d2",8.000
"Ksenia Solo","d2",8.000
"Gábor Csíkos","d2",8.000
"Barbara Hershey","d2",8.000
"Ágnes Bertalan","d2",8.000
"Danielle Darrieux","d2",8.000
"Gabrielle Lopes Benites","d2",8.000
"Catherine Deneuve","d2",8.000
"Sophie Arthuys","d2",8.000
"Natalie Portman","d2",8.000
"Chiara Mastroianni","d2",8.000
"Gyula Balázsi","d2",8.000
"Kristina Anapau","d2",8.000
"François Jerosme","d2",8.000
"Gena Rowlands","d2",8.000
"Sebastian Stan","d2",8.000
"Jean-François Gallotte","d2",8.000
"László Csurka","d2",8.000
"Mila Kunis","d2",8.000
"Winona Ryder","d2",8.000
"Janet Montgomery","d2",8.000
"Arié Elmaleh","d2",8.000
"Péter Blaskó","d2",8.000
