tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,Cast_and_Crew
tt0117186,Nirbhay,Nirbhay,0,1996,135,"Action,Thriller",5.5,24,"Sadashiv Amrapurkar (actor), Malavika Arora (actress), Sharokh Bharucha (actor), Sangeeta Bijlani (actress), Mithun Chakraborty (actor), Avtar Gill (actor), Arbaaz Ali Khan (actor), Kulbhushan Kharbanda (actor), Anupam Kher (actor), Amrit Patel (actor), Vinod Dewan (director), T.C. Dewan (producer), Vijay Patil (composer)"
tt0117142,Wasted!,Naar de klote!,0,1996,104,"Drama,Romance",5.7,765,"Fem van der Elzen (actress), Tygo Gernandt (actor), Thom Hoffman (actor), Hugo Metsers (actor), Mike Libanon (actor), Dennis Adam (actor), Peter Addens (actor), Abdenbi Azzaoui (actor), Astrid Beens (actress), Johanneke Benink (actress), Aryan Kaganof (director), Aryan Kaganof (writer), Ton Van Der Lee (writer), Bob Hubar (producer), Otto van der Toorn (composer), Joost van Gelder (cinematographer), J.P. Luijsterburg (editor), Betty Post (casting_director), Hadewych ten Berge (production_designer), Diana van de Vossenberg (production_designer)"
tt0118184,Without a Map,Without a Map,0,1996,82,Drama,6.7,40,"Philip Tanzini (actor), Robin McKee (actress), Rachel Bailit (actress), Roisel Bailih (actress), Lola Glaudini (actress), Kristina Haddad (actress), John D. LeMay (actor), Tom Pettit (actor), Betsy Salkind (actress), Peter Turman (director), Peter Turman (writer), Tom Pettit (producer), Sara Graef (composer), Andrew Turman (cinematographer), Annette Davey (editor), Lucyna Wojciechowski (editor), Katie Lipsitt (production_designer)"
tt0116274,Familia,Familia,0,1996,98,"Comedy,Drama",7.2,1645,"Juan Luis Galiardo (actor), Amparo Muñoz (actress), Ágata Lys (actress), Chete Lera (actor), Elena Anaya (actress), Raquel Rodrigo (actress), Juan Querol (actor), Aníbal Carbonero (actor), André Falcon (actor), Béatrice Camurat (actress), Fernando León de Aranoa (director), Fernando León de Aranoa (writer), Elías Querejeta (producer), Alfredo Mayo (cinematographer), Nacho Ruiz Capillas (editor), Soledad Seseña (production_designer)"
tt0116466,G√•ten Knut Hamsun,G√•ten Knut Hamsun,0,1996,113,Drama,6,61,"Lars Øyno (actor), Kjersti Holmen (actress), Anders T. Andersen (actor), Benjamin Barker (actor), Petronella Barker (actress), Günter Bothur (actor), Bente Børsum (actress), Edith Carlmar (actress), Ricky Danielsson (actor), Johannes Eckhoff (actor), Bentein Baardson (director), Bentein Baardson (writer), Robert Ferguson (writer), Bodil Kvamme (writer), Jonathan Gilbert Rumbold (writer), Axel Helgeland (producer), Oddvar Bull Tuhus (producer), Håkon Berge (composer), Erling Thurmann-Andersen (cinematographer), Arne Johnny Karlsson (editor), Anders Refn (editor), John Kristian Alsaker (production_designer)"
tt0173747,A Cry in the Night,Le cri de la nuit,0,1996,81,Drama,5.7,52,"Pierre Curzi (actor), Félix-Antoine Leroux (actor), Louise Richer (actress), Jocelyn Bérubé (actor), Sabine Karsenti (actress), Jean Beaudry (director), Jean Beaudry (writer), Claude Cartier (producer), Robert Marcel Lepage (composer), Eric Cayla (cinematographer), Suzanne Allard (editor), Lucie Robitaille (casting_director)"
tt0117768,The Stupids,The Stupids,0,1996,94,"Adventure,Comedy",4.3,7610,"Tom Arnold (actor), Jessica Lundy (actress), Bug Hall (actor), Alex McKenna (actress), Mark Metcalf (actor), Matt Keeslar (actor), Scott Kraft (actor), Victor Ertmanis (actor), Earl Williams (actor), George Chiang (actor), John Landis (director), James Marshall (writer), Harry Allard (writer), Brent Forrester (writer), Leslie Belzberg (producer), Christopher L. Stone (composer), Manfred Guthe (cinematographer), Dale Beldin (editor), Amy Lippens (casting_director), Phil Dagort (production_designer)"
tt0117288,Paper Dragons,Paper Dragons,0,1996,95,Drama,4.5,124,"Victor Wong (actor), James Hong (actor), Adolfo Swaya (actor), Michael Paul Chan (actor), Michael Shamus Wiles (actor), Frank van Keeken (actor), Jeremy Renner (actor), Kathryn Morris (actress), Paul Bates (actor), Ernie Reyes Jr. (actor), Adolfo Swaya (director), Brian Siu (writer), Adolfo Swaya (writer), T.L. Lankford (writer), Adolfo Swaya (producer), Christopher Tyng (composer), David Worth (cinematographer), Michael E. Polakow (editor), Susan Peck (casting_director), Ritch Wilder (production_designer)"
tt0120554,Zone 39,Zone 39,0,1996,95,Sci-Fi,4.6,314,"Peter Phelps (actor), Carolyn Bock (actress), Carolyn Bock (actress), William Zappa (actor), Bradley Byquar (actor), Alex Menglet (actor), Jeff Kovski (actor), Warwick Sadler (actor), Simon Wilton (actor), Richard Aspel (actor), Bruno Stepnell (actor), John Tatoulis (director), Deborah Parsons (writer), John Tatoulis (writer), Colin South (producer), John Tatoulis (producer), Burkhard von Dallwitz (composer), Peter Zakharov (cinematographer), Peter Burgess (editor), Stan Antonaides (production_designer), Phil Chambers (production_designer)"
tt0118131,Yes Madam 5,Wei qing zhui zong,0,1996,83,Action,4.5,91,"Cynthia Khan (actress), Siu-Ho Chin (actor), Mei-Ngo Chan (actress), Billy Chow (actor), James Chim-Si Ha (actor), Phillip Ko (actor), Siu-Ming Lau (actor), Hong Sang Tsang (actor), Pan Pan Yeung (actress), Chun-Liang Chen (director), Siu-Man Yip (writer), Ricky Ka-Kui Wong (producer), Sherman Chow (composer), Ging-Nin Cheung (cinematographer), Ka-Fai Cheung (editor)"
tt0344098,Namak,Namak,0,1996,148,"Action,Drama,Family",4.3,84,"Sanjay Dutt (actor), Farha Naaz (actress), Sidhant Salaria (actor), Fatima Sheikh (actress), Raza Murad (actor), Shakti Kapoor (actor), Sahila Chaddha (actress), Prem Chopra (actor), Master Rajat Dubey (actor), Gulshan Grover (actor), Kawal Sharma (director), Ram Govind (writer), Rajeev Kaul (writer), Kawal Sharma (producer), Anu Malik (composer), Dilip Dutta (cinematographer), Vijay Pande (editor)"
tt0441084,38. expansiva,38. expansiva,0,1996,85,"Action,Crime,Drama",3.8,15,"Jorge Luke (actor), Noé Murayama (actor), Manuel 'Flaco' Ibáñez (actor), Eduardo López Rojas (actor), Claudio Rojo (actor), Mirna Cortes (actress), Patricia Rojas (actress), Guillermo Lagunes (actor), Irene Ramos (actress), Asael Trujillo (actor), Christian González (director), Christian González (writer), Patricia Rojas (producer), Ramiro Pastrana (composer), Gerardo Oynick (cinematographer), Cuahtemoc Ponce (editor)"
tt0345819,Ang probinsyano,Ang probinsyano,0,1996,118,"Action,Drama",4.3,96,"Fernando Poe Jr. (actor), Fernando Poe Jr. (actor), Dindi Gallardo (actress), Amanda Page (actress), Melisse Santiago (actress), Janus Del Prado (actor), Amado Cortez (actor), Bob Soler (actor), Zandro Zamora (actor), Berting Labra (actor), Romy Diaz (actor), Fernando Poe Jr. (director), Fernando Poe Jr. (writer), Pablo S. Gomez (writer), Manny R. Buising (writer), Fernando Poe Jr. (producer), Jaime Fabregas (composer), Ver Reyes (cinematographer), Augusto Salvador (editor), Rene Tala (editor), Ben Payumo (production_designer)"
tt0179476,Starcrypt,Starcrypt,0,1996,90,"Action,Mystery,Sci-Fi",3.7,64,"Matthias Hues (actor), Michael Blankenship (actor), Larry Finch (actor), Donna Lafferty (actress), Craig J. McIntyre (actor), Damian Pappahranis (actor), Mark Sult (actor), Richard Preston Jr. (director), Richard Preston Jr. (writer), Jonathann Launer (composer), Chris Chomyn (cinematographer)"
tt0116535,Hindsight,Hindsight,0,1996,97,Drama,4.9,251,"Ken Steadman (actor), Cyndi Pass (actress), Kathy Shower (actress), John Phillip Law (actor), Robert Forster (actor), Daniel Patrick (actor), Tuesday Knight (actress), Rod McCary (actor), Lorissa McComas (actress), Jack Ong (actor), John T. Bone (director), Steve Tymon (writer), Ron Lavery (producer), Jim Ervin (composer), Keith Holland (cinematographer), Aaron Griffith (casting_director)"
tt0119663,The Method,The Method,0,1996,97,"Crime,Drama",4.9,162,"Nicholas Sadler (actor), Amanda Anka (actress), Laurie Bogdanovich (actress), Michael Bondies (actor), Christina Cessna (actress), Julio Cesar Chavez (actor), Kay Chilton (actress), Shirley Chilton (actress), Herbie Cron II (actor), Maril Davis (actress), Kevin Lewis (director), Kevin Lewis (writer), Troy Scott (writer), Albert Kodagolian (producer), Kevin Lewis (producer), Scottland Olds Harbert (composer), Christopher Crook (cinematographer), Greg G. Reeves (cinematographer), Russell Livingstone (editor), Carol Lefko (casting_director), Todd Feldman (production_designer)"
tt0304872,"Unicorn, the Garden of the Fruits","Unicornio, el jard√≠n de las frutas",0,1996,90,"Drama,Fantasy",4.2,29,"Yasef Calderón (actor), Romina Barbar (actress), Hukum Singh (actor), Dinesh Dinaram (actress), Pablo César (director), Yasef Calderón (writer), Pablo César (writer), Héctor Magni (composer), Carlos Essmann (cinematographer)"
tt0116356,Frankenstein and Me,Frankenstein and Me,0,1996,91,"Comedy,Family,Fantasy",4.9,577,"Jamieson Boulanger (actor), Ricky Mabe (actor), Polly Shannon (actress), Louise Fletcher (actress), Myriam Cyr (actress), Burt Reynolds (actor), Ryan Gosling (actor), Beki Lantos (actress), Jason Cavalier (actor), Mélany Goudreau (actress), Robert Tinnell (director), Richard Goudreau (writer), David Sherman (writer), Robert Tinnell (writer), Richard Goudreau (producer), Jeffrey Tinnell (producer), Normand Corbeil (composer), Roxanne di Santo (cinematographer), Gaétan Huot (editor), Andrea Kenyon (casting_director), Myriam Vézina (casting_director), Michel Marsolais (production_designer)"
tt0115522,Alone in the Woods,Alone in the Woods,0,1996,92,"Comedy,Crime,Family",4.3,285,"Daniel McVicar (actor), Laraine Newman (actress), Sarah Bibb (actress), Brady Bluhm (actor), Stephen C. Bradbury (actor), Chick Vennera (actor), Jim Doughan (actor), Matthias Hues (actor), Krystee Clark (actress), Blake Clark (actor), John Putch (director), J. Riley Lagesen (writer), Ashok Amritraj (producer), Andrew Stevens (producer), David Lawrence (composer), Frank E. Johnson (cinematographer), Vanick Moradian (editor), Hannah Burks (casting_director), Noble Henry (casting_director), Billy Jett (production_designer)"
tt0116182,The Elevator,The Elevator,0,1996,90,"Comedy,Drama",4.4,255,"Martin Landau (actor), Gabriel Bologna (actor), Gretchen Becker (actress), Dean Jacobson (actor), Richard Lewis (actor), Richard Moll (actor), Phil Fondacaro (actor), Martin Sheen (actor), Bokeem Woodbine (actor), Vic Trevino (actor), Arthur Borman (director), Nigel Dick (director), Rafal Zielinski (director), Gabriel Bologna (writer), Athena Ashburn (producer), Brian Shuster (producer), James Covell (composer), Jens Sturup (cinematographer), Lawrence A. Maddox (editor), Tom McSweeney (casting_director), Hunter Cressall (production_designer), Mary E. Gullickson (production_designer)"
tt0279956,Messalina: The Virgin Empress,Messalina,1,1996,91,"Adult,Drama,History",4.8,131,"Kelly Trump (actress), Backey Jakic (actor), Olivia Del Rio (actress), Hakan Serbes (actor), Jessica Gabriel (actress), Jennifer Loca (actress), Ursula Moore (actress), Valeria Horj (actress), Nicolette (actress), Roberto Malone (actor), Joe D'Amato (director), Joe D'Amato (writer), Joe D'Amato (cinematographer), Rosanna Landi (editor), Frank Wolf (production_designer)"
tt0115775,Bugged,Bugged,0,1996,82,"Comedy,Horror,Sci-Fi",4.2,328,"Priscilla K. Basque (actress), Ronald K. Armstrong (actor), Jeff Lee (actor), Derek C. Johnson (actor), Billy Graham (actor), David McKay (actor), John Kilgore (actor), Jacqui Everett (actress), Malachi Weir (actor), Harold W. Smith (actor), Ronald K. Armstrong (director), Ronald K. Armstrong (writer), Gay Abel-Bey (producer), Ronald K. Armstrong (producer), S. Torriano Berry (cinematographer), Ronald K. Armstrong (editor)"
tt0116460,Hong Kong Show Girls,Gwai gek yuen: Ging ching yim lui long,0,1996,90,"Comedy,Horror",3.7,52,"Veronica Yip (actress), Diana Pang (actress), Pauline Chan (actress), Ka-Tung Lam (actor), Ping Ha (actress), Yat-Fei Wong (actor), Elaine Eca Da Silva (actress), Teddy Chan (actor), Wai-Kwok Cheung (actor), Cammy Choi (actress), John Hau (director), Wilson Yip (writer), Benny Chan (producer), John Hau (producer), Kwong-Hung Joe Chan (cinematographer), Kwok-Kuen Cheung (editor)"
tt0133282,Year of the Dogs,Year of the Dogs,0,1997,85,"Documentary,Sport",8.2,91,"Michael Cordell (director), Scott Saunders (composer), Michael Cordell (cinematographer), Stewart Young (editor)"
tt0114460,The Sixth Sun: Mayan Uprising in Chiapas,The Sixth Sun: Mayan Uprising in Chiapas,0,1997,60,Documentary,8.6,24,"Saul Landau (director), Haskell Wexler (cinematographer)"
tt0128332,Innocence,Masumiyet,0,1997,110,Drama,8,22703,"Güven Kiraç (actor), Haluk Bilginer (actor), Derya Alabora (actress), Yalcin Cakmak (actor), Iskender Altin (actor), Dogan Turan (actor), Melis Tuna (actress), Ajlan Aktug (actor), Nihal G. Koldas (actress), Feridun Koç (actor), Zeki Demirkubuz (director), Zeki Demirkubuz (writer), Zeki Demirkubuz (producer), Nihal G. Koldas (producer), Cengiz Onural (composer), Ali Utku (cinematographer), Mevlüt Koçak (editor)"
tt0133826,Guru,Guru,0,1997,136,"Drama,Fantasy",8.5,3877,"Mohanlal (actor), Suresh Gopi (actor), Madhupal (actor), Kaveri (actress), Sithara (actress), Sreelakshmi (actress), Charu Haasan (actor), N.F. Varghese (actor), Murali (actor), Sreenivasan (actor), Rajiv Anchal (director), Rajiv Anchal (writer), Dr. Rajendrababu (writer), Ilaiyaraaja (composer), S. Kumar (cinematographer), B. Lenin (editor), V.T. Vijayan (editor)"
tt0120566,The Way,Az √∫t,0,1997,92,Drama,8.7,45,"Ferenc Moldoványi (director), Ferenc Moldoványi (writer), László B. Révész (producer), Ferenc Moldoványi (producer), Fabrice Puchault (producer), Róbert Római (producer), Tibor Szemzö (composer), Tibor Máthé (cinematographer), Márta Révész (editor)"
tt0133157,PNYC: Portishead - Roseland New York,PNYC: Portishead - Roseland New York,0,1997,93,"Documentary,Music",8.9,674,"Portishead (self), Geoff Barrow (self), Beth Gibbons (self), Adrian Utley (self), Dave MacDonald (self), John Baggott (self), Alfred Brown (self), Harold Coletta (self), Clive Deamer (self), David Finck (self), Dick Carruthers (director), Lizzie Ross (producer), Eugene O'Connor (cinematographer), John Mayes (editor)"
